type bsdf_data
format angles=deg bsdf=value scale=1
10	0
0	0	0.018499
5	0	0.002957
5	10	0.022983
5	20	0.017203
5	30	0.002742
5	40	0.002451
5	50	0.002853
5	60	0.002660
5	70	0.002310
5	80	0.002553
5	90	0.008368
5	100	0.007557
5	110	0.002893
5	120	0.002692
5	130	0.002764
5	140	0.003266
5	220	0.003205
5	230	0.002904
5	240	0.002920
5	250	0.008841
5	260	0.015396
5	270	0.003660
5	280	0.003242
5	290	0.003816
5	300	0.004347
5	310	0.009173
5	320	0.034219
5	330	0.006629
5	340	0.002551
5	350	0.002503
10	0	0.005218
10	10	0.007274
10	20	0.002611
10	30	0.026519
10	40	0.004085
10	50	0.002721
10	60	0.002904
10	70	0.003250
10	80	0.002923
10	90	0.030109
10	100	0.004110
10	110	0.002713
10	120	0.002229
10	130	0.003098
10	140	0.003667
10	220	0.002526
10	230	0.004941
10	240	0.009149
10	250	0.003643
10	260	0.020072
10	270	0.005275
10	280	0.002543
10	290	0.030549
10	300	0.075000
10	310	0.003091
10	320	0.002655
10	330	0.005028
10	340	0.123226
10	350	0.003237
15	0	0.010786
15	10	0.002844
15	20	0.056428
15	30	0.002415
15	40	0.003020
15	50	0.208069
15	60	0.002542
15	70	0.002865
15	80	0.002308
15	90	0.006599
15	100	0.002101
15	110	0.002206
15	120	0.002072
15	130	0.517384
15	140	0.002836
15	220	0.058599
15	230	0.002249
15	240	0.002486
15	250	0.004903
15	260	0.002132
15	270	0.002432
15	280	0.002698
15	290	0.021271
15	300	0.002711
15	310	0.003799
15	320	0.003252
15	330	0.002335
15	340	0.006220
15	350	0.006734
20	0	0.061660
20	10	0.001021
20	20	0.002322
20	30	0.003355
20	40	0.002085
20	50	0.001983
20	60	0.002495
20	70	0.002295
20	80	0.002241
20	90	0.007318
20	100	0.002485
20	110	0.001821
20	120	0.010387
20	130	0.002000
20	140	0.002634
20	220	0.002371
20	230	0.001883
20	240	0.002150
20	250	0.008330
20	260	0.003665
20	270	0.006267
20	280	0.026151
20	290	0.002565
20	300	0.002472
20	310	0.002011
20	320	0.001914
20	330	0.003152
20	340	0.002739
20	350	0.017254
25	0	0.027918
25	10	0.011676
25	20	0.001954
25	30	0.002235
25	40	0.003033
25	50	0.002116
25	60	0.002667
25	70	0.002555
25	80	0.002141
25	90	0.002249
25	100	0.002056
25	110	0.002074
25	120	0.002067
25	130	0.001821
25	140	0.001975
25	150	0.015455
25	160	0.001793
25	170	0.002176
25	180	0.001939
25	190	0.001968
25	200	0.001744
25	210	0.001940
25	220	0.001485
25	230	0.012403
25	240	0.001511
25	250	0.001649
25	260	0.001940
25	270	0.002492
25	280	0.081445
25	290	0.001642
25	300	0.001667
25	310	0.002485
25	320	0.002207
25	330	0.001846
25	340	0.002218
25	350	0.020888
30	0	0.240710
30	10	0.009595
30	20	0.002777
30	30	0.031813
30	40	0.002663
30	50	0.003784
30	60	0.003808
30	70	0.001880
30	80	0.001900
30	90	0.002070
30	100	0.001867
30	110	0.016565
30	120	0.001702
30	130	0.002842
30	140	0.001857
30	150	0.001777
30	160	0.001961
30	170	0.001799
30	180	0.002179
30	190	0.001924
30	200	0.001839
30	210	0.001653
30	220	0.124051
30	230	0.001740
30	240	0.001873
30	250	0.001984
30	260	0.002097
30	270	0.002130
30	280	0.002383
30	290	0.002505
30	300	0.002321
30	310	0.002582
30	320	0.002108
30	330	0.007948
30	340	0.002830
30	350	0.002269
35	0	0.003402
35	10	0.001848
35	20	0.002423
35	30	0.002015
35	40	0.002088
35	50	0.002493
35	60	0.001997
35	70	0.029864
35	80	0.002001
35	90	0.002031
35	100	0.001949
35	110	0.002165
35	120	0.001749
35	130	0.001968
35	140	0.022662
35	150	0.001886
35	160	0.124318
35	170	0.001762
35	180	0.002005
35	190	0.002131
35	200	0.002135
35	210	0.001748
35	220	0.001596
35	230	0.002004
35	240	0.066531
35	250	0.001687
35	260	0.002077
35	270	0.001814
35	280	0.001708
35	290	0.001778
35	300	0.002034
35	310	0.001716
35	320	0.001729
35	330	0.002053
35	340	0.001807
35	350	0.001789
40	0	0.002360
40	10	0.001893
40	20	0.001915
40	30	0.002154
40	40	0.001931
40	50	0.001838
40	60	0.002527
40	70	0.001819
40	80	0.001732
40	90	0.002169
40	100	0.002260
40	110	0.001821
40	120	0.006990
40	130	0.001807
40	140	0.002144
40	150	0.001884
40	160	0.002728
40	170	0.002059
40	180	0.001782
40	190	0.002454
40	200	0.001735
40	210	0.054460
40	220	0.001541
40	230	0.003106
40	240	0.001669
40	250	0.001843
40	260	0.001845
40	270	0.001669
40	280	0.001523
40	290	0.004436
40	300	0.001853
40	310	0.002085
40	320	0.002620
40	330	0.001596
40	340	0.001843
40	350	0.001876
45	0	0.002604
45	10	0.002464
45	20	0.001823
45	30	0.006354
45	40	0.001849
45	50	0.002053
45	60	0.093888
45	70	0.001809
45	80	0.002093
45	90	0.188870
45	100	0.002073
45	110	0.001787
45	120	0.002133
45	130	0.001803
45	140	0.002080
45	150	0.002185
45	160	0.001821
45	170	0.025801
45	180	0.003254
45	190	0.003482
45	200	0.001841
45	210	0.001762
45	220	0.001927
45	230	0.001796
45	240	0.001852
45	250	0.003068
45	260	0.001986
45	270	0.001580
45	280	0.002070
45	290	0.002159
45	300	0.001472
45	310	0.001933
45	320	0.001732
45	330	0.001875
45	340	0.002050
45	350	0.001995
50	0	0.004748
50	10	0.001793
50	20	0.001743
50	30	0.002189
50	40	0.001838
50	50	0.001842
50	60	0.002248
50	70	0.002139
50	80	0.001926
50	90	0.001814
50	100	0.001948
50	110	0.047705
50	120	0.001854
50	130	0.002113
50	140	0.001972
50	150	0.002062
50	160	0.001997
50	170	0.001929
50	180	0.001947
50	190	0.002238
50	200	0.002079
50	210	0.001885
50	220	0.002324
50	230	0.001650
50	240	0.455663
50	250	0.001561
50	260	0.003142
50	270	0.001740
50	280	0.001837
50	290	0.001641
50	300	0.001781
50	310	0.001864
50	320	0.001561
50	330	0.002429
50	340	0.001547
50	350	0.001765
55	0	0.002252
55	10	0.001823
55	20	0.001894
55	30	0.005446
55	40	0.002184
55	50	0.002070
55	60	0.002113
55	70	0.001968
55	80	0.001914
55	90	0.001924
55	100	0.002583
55	110	0.001950
55	120	0.002301
55	130	0.020301
55	140	0.002078
55	150	0.002195
55	160	0.001930
55	170	0.001898
55	180	0.001911
55	190	0.002869
55	200	0.002222
55	210	0.002864
55	220	0.001801
55	230	0.002057
55	240	0.001834
55	250	0.002049
55	260	0.001795
55	270	0.001817
55	280	0.001573
55	290	0.001717
55	300	0.001712
55	310	0.001579
55	320	0.002031
55	330	0.001745
55	340	0.001673
55	350	0.001836
60	0	0.063621
60	10	0.009900
60	20	0.001937
60	30	0.002048
60	40	0.003044
60	50	0.003826
60	60	0.002092
60	70	0.002034
60	80	0.002291
60	90	0.003278
60	100	0.002150
60	110	0.002013
60	120	0.002053
60	130	0.002035
60	140	0.002604
60	150	0.002181
60	160	0.002053
60	170	0.002043
60	180	0.002706
60	190	0.002031
60	200	0.015400
60	210	0.002789
60	220	0.002269
60	230	1.059580
60	240	0.002053
60	250	0.001983
60	260	0.001836
60	270	0.002567
60	280	0.368924
60	290	0.001957
60	300	0.001817
60	310	0.002002
60	320	0.002174
60	330	0.001989
60	340	0.002040
60	350	0.006629
65	0	0.002376
65	10	0.002560
65	20	0.003852
65	30	0.002121
65	40	0.002392
65	50	0.002482
65	60	0.022491
65	70	0.002524
65	80	0.003571
65	90	0.002871
65	100	0.537297
65	110	0.002374
65	120	0.002250
65	130	0.002448
65	140	0.002740
65	150	0.003115
65	160	0.002270
65	170	0.002588
65	180	0.002228
65	190	0.003277
65	200	0.002344
65	210	0.002537
65	220	0.002045
65	230	0.002255
65	240	0.002022
65	250	0.002067
65	260	0.002271
65	270	0.002346
65	280	0.002158
65	290	0.004372
65	300	0.002323
65	310	0.029453
65	320	0.002165
65	330	0.001924
65	340	0.002301
65	350	0.002245
70	0	0.002774
70	10	0.002443
70	20	0.014309
70	30	0.002927
70	40	0.002713
70	50	0.002471
70	60	0.002936
70	70	0.005328
70	80	0.002874
70	90	0.002908
70	100	0.002528
70	110	0.004537
70	120	0.002498
70	130	0.021810
70	140	0.002713
70	150	0.002651
70	160	0.002913
70	170	0.002871
70	180	0.002639
70	190	0.002910
70	200	0.010238
70	210	0.012607
70	220	0.003159
70	230	0.003308
70	240	0.003196
70	250	0.003364
70	260	0.002843
70	270	0.003038
70	280	0.002787
70	290	0.004194
70	300	0.002675
70	310	0.002815
70	320	0.003001
70	330	0.003271
70	340	0.003001
70	350	0.002955
