type bsdf_data
format angles=deg bsdf=value scale=1
10	0
0	0	0.018499
5	0	0.002957
5	10	0.012743
5	20	0.009877
5	30	0.004686
5	40	0.018335
5	50	0.006013
5	60	0.003504
5	70	0.003063
5	80	0.002897
5	90	0.006014
5	100	0.011477
5	110	0.005867
5	120	0.002806
5	130	0.002834
5	140	0.003235
5	220	0.003235
5	230	0.002834
5	240	0.002806
5	250	0.005867
5	260	0.011477
5	270	0.006014
5	280	0.002897
5	290	0.003063
5	300	0.003504
5	310	0.006013
5	320	0.018335
5	330	0.004686
5	340	0.009877
5	350	0.012743
10	0	0.005218
10	10	0.005255
10	20	0.062919
10	30	0.015773
10	40	0.003370
10	50	0.002906
10	60	0.038952
10	70	0.016900
10	80	0.002733
10	90	0.017692
10	100	0.012091
10	110	0.003178
10	120	0.005689
10	130	0.004020
10	140	0.003097
10	220	0.003097
10	230	0.004020
10	240	0.005689
10	250	0.003178
10	260	0.012091
10	270	0.017692
10	280	0.002733
10	290	0.016900
10	300	0.038952
10	310	0.002906
10	320	0.003370
10	330	0.015773
10	340	0.062919
10	350	0.005255
15	0	0.010786
15	10	0.004789
15	20	0.031324
15	30	0.002375
15	40	0.003136
15	50	0.105934
15	60	0.002626
15	70	0.012068
15	80	0.002503
15	90	0.004516
15	100	0.002117
15	110	0.003555
15	120	0.002279
15	130	0.259816
15	140	0.030717
15	220	0.030717
15	230	0.259816
15	240	0.002279
15	250	0.003555
15	260	0.002117
15	270	0.004516
15	280	0.002503
15	290	0.012068
15	300	0.002626
15	310	0.105934
15	320	0.003136
15	330	0.002375
15	340	0.031324
15	350	0.004789
20	0	0.061660
20	10	0.009137
20	20	0.002530
20	30	0.003253
20	40	0.001999
20	50	0.001997
20	60	0.002483
20	70	0.002430
20	80	0.014196
20	90	0.006792
20	100	0.003075
20	110	0.005076
20	120	0.006268
20	130	0.001942
20	140	0.002502
20	220	0.002502
20	230	0.001942
20	240	0.006268
20	250	0.005076
20	260	0.003075
20	270	0.006792
20	280	0.014196
20	290	0.002430
20	300	0.002483
20	310	0.001997
20	320	0.001999
20	330	0.003253
20	340	0.002530
20	350	0.009137
25	0	0.027918
25	10	0.016282
25	20	0.002086
25	30	0.002040
25	40	0.002620
25	50	0.002300
25	60	0.002167
25	70	0.002099
25	80	0.041793
25	90	0.002371
25	100	0.001998
25	110	0.001861
25	120	0.001789
25	130	0.007112
25	140	0.001730
25	150	0.008698
25	160	0.001769
25	170	0.002072
25	180	0.001939
25	190	0.002072
25	200	0.001769
25	210	0.008698
25	220	0.001730
25	230	0.007112
25	240	0.001789
25	250	0.001861
25	260	0.001998
25	270	0.002371
25	280	0.041793
25	290	0.002099
25	300	0.002167
25	310	0.002300
25	320	0.002620
25	330	0.002040
25	340	0.002086
25	350	0.016282
30	0	0.240710
30	10	0.005932
30	20	0.002804
30	30	0.019881
30	40	0.002386
30	50	0.003183
30	60	0.003065
30	70	0.002193
30	80	0.002142
30	90	0.002100
30	100	0.001982
30	110	0.009274
30	120	0.001788
30	130	0.002291
30	140	0.062954
30	150	0.001715
30	160	0.001900
30	170	0.001861
30	180	0.002179
30	190	0.001861
30	200	0.001900
30	210	0.001715
30	220	0.062954
30	230	0.002291
30	240	0.001788
30	250	0.009274
30	260	0.001982
30	270	0.002100
30	280	0.002142
30	290	0.002193
30	300	0.003065
30	310	0.003183
30	320	0.002386
30	330	0.019881
30	340	0.002804
30	350	0.005932
35	0	0.003402
35	10	0.001819
35	20	0.002115
35	30	0.002034
35	40	0.001909
35	50	0.002105
35	60	0.002015
35	70	0.015821
35	80	0.001855
35	90	0.001922
35	100	0.002013
35	110	0.001926
35	120	0.034140
35	130	0.001986
35	140	0.012129
35	150	0.001817
35	160	0.063227
35	170	0.001946
35	180	0.002005
35	190	0.001946
35	200	0.063227
35	210	0.001817
35	220	0.012129
35	230	0.001986
35	240	0.034140
35	250	0.001926
35	260	0.002013
35	270	0.001922
35	280	0.001855
35	290	0.015821
35	300	0.002015
35	310	0.002105
35	320	0.001909
35	330	0.002034
35	340	0.002115
35	350	0.001819
40	0	0.002360
40	10	0.001884
40	20	0.001879
40	30	0.001875
40	40	0.002275
40	50	0.001962
40	60	0.002190
40	70	0.003128
40	80	0.001628
40	90	0.001919
40	100	0.002053
40	110	0.001832
40	120	0.004330
40	130	0.002456
40	140	0.001842
40	150	0.028172
40	160	0.002231
40	170	0.002256
40	180	0.001782
40	190	0.002256
40	200	0.002231
40	210	0.028172
40	220	0.001842
40	230	0.002456
40	240	0.004330
40	250	0.001832
40	260	0.002053
40	270	0.001919
40	280	0.001628
40	290	0.003128
40	300	0.002190
40	310	0.001962
40	320	0.002275
40	330	0.001875
40	340	0.001879
40	350	0.001884
45	0	0.002604
45	10	0.002229
45	20	0.001937
45	30	0.004115
45	40	0.001790
45	50	0.001993
45	60	0.047680
45	70	0.001984
45	80	0.002082
45	90	0.095225
45	100	0.002030
45	110	0.002427
45	120	0.001992
45	130	0.001799
45	140	0.002004
45	150	0.001973
45	160	0.001831
45	170	0.014642
45	180	0.003254
45	190	0.014642
45	200	0.001831
45	210	0.001973
45	220	0.002004
45	230	0.001799
45	240	0.001992
45	250	0.002427
45	260	0.002030
45	270	0.095225
45	280	0.002082
45	290	0.001984
45	300	0.047680
45	310	0.001993
45	320	0.001790
45	330	0.004115
45	340	0.001937
45	350	0.002229
50	0	0.004748
50	10	0.001779
50	20	0.001645
50	30	0.002309
50	40	0.001700
50	50	0.001853
50	60	0.002014
50	70	0.001890
50	80	0.001881
50	90	0.001777
50	100	0.002545
50	110	0.024633
50	120	0.228759
50	130	0.001881
50	140	0.002148
50	150	0.001973
50	160	0.002038
50	170	0.002083
50	180	0.001947
50	190	0.002083
50	200	0.002038
50	210	0.001973
50	220	0.002148
50	230	0.001881
50	240	0.228759
50	250	0.024633
50	260	0.002545
50	270	0.001777
50	280	0.001881
50	290	0.001890
50	300	0.002014
50	310	0.001853
50	320	0.001700
50	330	0.002309
50	340	0.001645
50	350	0.001779
55	0	0.002252
55	10	0.001829
55	20	0.001783
55	30	0.003596
55	40	0.002107
55	50	0.001824
55	60	0.001912
55	70	0.001842
55	80	0.001743
55	90	0.001870
55	100	0.002189
55	110	0.001999
55	120	0.002067
55	130	0.011179
55	140	0.001940
55	150	0.002529
55	160	0.002076
55	170	0.002384
55	180	0.001911
55	190	0.002384
55	200	0.002076
55	210	0.002529
55	220	0.001940
55	230	0.011179
55	240	0.002067
55	250	0.001999
55	260	0.002189
55	270	0.001870
55	280	0.001743
55	290	0.001842
55	300	0.001912
55	310	0.001824
55	320	0.002107
55	330	0.003596
55	340	0.001783
55	350	0.001829
60	0	0.063621
60	10	0.008265
60	20	0.001988
60	30	0.002018
60	40	0.002609
60	50	0.002914
60	60	0.001955
60	70	0.001995
60	80	0.185607
60	90	0.002922
60	100	0.001993
60	110	0.001998
60	120	0.002053
60	130	0.530807
60	140	0.002437
60	150	0.002485
60	160	0.008726
60	170	0.002037
60	180	0.002706
60	190	0.002037
60	200	0.008726
60	210	0.002485
60	220	0.002437
60	230	0.530807
60	240	0.002053
60	250	0.001998
60	260	0.001993
60	270	0.002922
60	280	0.185607
60	290	0.001995
60	300	0.001955
60	310	0.002914
60	320	0.002609
60	330	0.002018
60	340	0.001988
60	350	0.008265
65	0	0.002376
65	10	0.002403
65	20	0.003077
65	30	0.002022
65	40	0.002279
65	50	0.015967
65	60	0.012407
65	70	0.003448
65	80	0.002864
65	90	0.002608
65	100	0.269784
65	110	0.002220
65	120	0.002136
65	130	0.002352
65	140	0.002392
65	150	0.002826
65	160	0.002307
65	170	0.002933
65	180	0.002228
65	190	0.002933
65	200	0.002307
65	210	0.002826
65	220	0.002392
65	230	0.002352
65	240	0.002136
65	250	0.002220
65	260	0.269784
65	270	0.002608
65	280	0.002864
65	290	0.003448
65	300	0.012407
65	310	0.015967
65	320	0.002279
65	330	0.002022
65	340	0.003077
65	350	0.002403
70	0	0.002774
70	10	0.002699
70	20	0.008655
70	30	0.003099
70	40	0.002857
70	50	0.002643
70	60	0.002805
70	70	0.004761
70	80	0.002830
70	90	0.002973
70	100	0.002685
70	110	0.003951
70	120	0.002847
70	130	0.012559
70	140	0.002936
70	150	0.007629
70	160	0.006575
70	170	0.002890
70	180	0.002639
70	190	0.002890
70	200	0.006575
70	210	0.007629
70	220	0.002936
70	230	0.012559
70	240	0.002847
70	250	0.003951
70	260	0.002685
70	270	0.002973
70	280	0.002830
70	290	0.004761
70	300	0.002805
70	310	0.002643
70	320	0.002857
70	330	0.003099
70	340	0.008655
70	350	0.002699
