type bsdf_data
format angles=deg bsdf=value scale=1
10	0
0	0	0.007179
5	0	0.007509
5	10	0.007478
5	20	0.007551
5	30	0.007539
5	40	0.007223
5	50	0.007170
5	60	0.007080
5	70	0.007024
5	80	0.006921
5	90	0.007054
5	100	0.007100
5	110	0.007103
5	120	0.007331
5	130	0.007524
5	140	0.007588
10	0	0.007823
10	10	0.007750
10	20	0.007391
10	30	0.007524
10	40	0.007364
10	50	0.007200
10	60	0.005763
10	70	0.005449
10	80	0.005682
10	90	0.006031
10	100	0.006940
10	110	0.007128
10	120	0.007275
10	130	0.007534
10	140	0.007468
15	0	0.007788
15	10	0.007625
15	20	0.007863
15	30	0.007229
15	40	0.007288
15	50	0.007321
15	60	0.006172
15	70	0.005866
15	80	0.005474
15	90	0.006307
15	100	0.006667
15	110	0.006775
15	120	0.007148
15	130	0.007212
15	140	0.007448
20	0	0.007071
20	10	0.007466
20	20	0.007734
20	30	0.007530
20	40	0.007628
20	50	0.007436
20	60	0.006155
20	70	0.006212
20	80	0.006192
20	90	0.006112
20	100	0.006479
20	110	0.006676
20	120	0.006987
20	130	0.006880
20	140	0.006952
25	0	0.005591
25	10	0.005447
25	20	0.007783
25	30	0.007971
25	40	0.007818
25	50	0.007863
25	60	0.006557
25	70	0.006417
25	80	0.006389
25	90	0.006203
25	100	0.006359
25	110	0.006923
25	120	0.007414
25	130	0.007909
25	140	0.007674
25	150	0.007720
25	160	0.006027
25	170	0.005946
25	180	0.006259
30	0	0.005528
30	10	0.005635
30	20	0.008038
30	30	0.007860
30	40	0.007874
30	50	0.007958
30	60	0.007057
30	70	0.006730
30	80	0.006601
30	90	0.006664
30	100	0.007127
30	110	0.007373
30	120	0.007641
30	130	0.007531
30	140	0.007877
30	150	0.007822
30	160	0.005965
30	170	0.005947
30	180	0.006259
35	0	0.005207
35	10	0.005980
35	20	0.008152
35	30	0.008078
35	40	0.008233
35	50	0.008301
35	60	0.007456
35	70	0.007200
35	80	0.006917
35	90	0.006750
35	100	0.007142
35	110	0.007387
35	120	0.007601
35	130	0.007807
35	140	0.007826
35	150	0.007818
35	160	0.006388
35	170	0.006384
35	180	0.005728
40	0	0.005502
40	10	0.005871
40	20	0.008164
40	30	0.008630
40	40	0.008668
40	50	0.008576
40	60	0.007646
40	70	0.007460
40	80	0.007123
40	90	0.006847
40	100	0.007018
40	110	0.007484
40	120	0.007696
40	130	0.008024
40	140	0.007779
40	150	0.007675
40	160	0.006366
40	170	0.006071
40	180	0.006162
45	0	0.005888
45	10	0.006491
45	20	0.008429
45	30	0.008799
45	40	0.008869
45	50	0.008768
45	60	0.007954
45	70	0.007751
45	80	0.007346
45	90	0.006830
45	100	0.007266
45	110	0.007824
45	120	0.008004
45	130	0.007792
45	140	0.008085
45	150	0.007922
45	160	0.006617
45	170	0.006235
45	180	0.006185
50	0	0.005517
50	10	0.007933
50	20	0.008553
50	30	0.009262
50	40	0.009321
50	50	0.009025
50	60	0.008261
50	70	0.007846
50	80	0.007224
50	90	0.006951
50	100	0.007492
50	110	0.008067
50	120	0.008235
50	130	0.008379
50	140	0.008126
50	150	0.006996
50	160	0.006849
50	170	0.006695
50	180	0.005903
55	0	0.005883
55	10	0.008147
55	20	0.009208
55	30	0.009614
55	40	0.010124
55	50	0.009454
55	60	0.008515
55	70	0.008101
55	80	0.007478
55	90	0.006975
55	100	0.007725
55	110	0.007991
55	120	0.008435
55	130	0.008741
55	140	0.008901
55	150	0.007570
55	160	0.007145
55	170	0.006511
55	180	0.006025
60	0	0.007321
60	10	0.008229
60	20	0.009466
60	30	0.010032
60	40	0.010699
60	50	0.009669
60	60	0.008934
60	70	0.008691
60	80	0.008384
60	90	0.007379
60	100	0.008098
60	110	0.008327
60	120	0.008639
60	130	0.008824
60	140	0.008785
60	150	0.007788
60	160	0.007226
60	170	0.006721
60	180	0.006080
65	0	0.007465
65	10	0.008433
65	20	0.010123
65	30	0.010475
65	40	0.011332
65	50	0.010766
65	60	0.009955
65	70	0.009447
65	80	0.008828
65	90	0.007553
65	100	0.007984
65	110	0.009016
65	120	0.009068
65	130	0.009098
65	140	0.009083
65	150	0.007679
65	160	0.007160
65	170	0.006604
65	180	0.005907
70	0	0.007583
70	10	0.008851
70	20	0.010368
70	30	0.011261
70	40	0.011894
70	50	0.012052
70	60	0.010693
70	70	0.010122
70	80	0.009154
70	90	0.007834
70	100	0.008246
70	110	0.008639
70	120	0.009297
70	130	0.009121
70	140	0.008860
70	150	0.008149
70	160	0.007171
70	170	0.006756
70	180	0.006303
75	0	0.007211
75	10	0.008978
75	20	0.011069
75	30	0.011634
75	40	0.012495
75	50	0.012200
75	60	0.011524
75	70	0.011174
75	80	0.009322
75	90	0.007803
75	100	0.008326
75	110	0.008789
75	120	0.009079
75	130	0.009027
75	140	0.009113
75	150	0.007719
75	160	0.007115
75	170	0.006055
75	180	0.006125
80	0	0.007204
80	10	0.008194
80	20	0.009807
80	30	0.011160
80	40	0.012612
80	50	0.012813
80	60	0.011383
