type bsdf_data
format angles=deg bsdf=value scale=1
0	0
0	0	18.676343
5	40	18.057336
5	50	15.964410
5	60	18.249020
5	70	16.395666
5	80	18.360766
5	90	17.593912
5	100	18.872031
5	110	19.830592
5	120	17.625921
5	130	18.856111
5	140	16.044284
10	40	15.163066
10	50	17.441737
10	60	40.778616
10	70	48.552081
10	80	46.709685
10	90	40.277536
10	100	41.990644
10	110	37.837254
10	120	16.601299
10	130	31.114272
10	140	20.657843
15	0	8.934452
15	10	8.079307
15	20	7.171436
15	30	8.802546
15	40	18.243943
15	50	17.667209
15	60	43.898848
15	70	43.915325
15	80	39.730143
15	90	46.271435
15	100	39.977305
15	110	44.541448
15	120	17.387035
15	130	43.404540
15	140	42.317070
15	150	19.743385
15	160	10.354705
15	170	12.424175
15	180	11.631618
20	0	14.717087
20	10	17.354190
20	20	4.004361
20	30	4.649573
20	40	15.043741
20	50	15.179355
20	60	39.602734
20	70	36.113738
20	80	37.756517
20	90	41.550445
20	100	41.939977
20	110	41.516597
20	120	15.111565
20	130	40.331004
20	140	34.064320
20	150	18.702301
20	160	24.122164
20	170	23.021163
20	180	25.341571
25	0	83.418644
25	10	67.086893
25	20	34.633683
25	30	4.376381
25	40	3.965423
25	50	4.272684
25	60	20.576434
25	70	24.741848
25	80	26.445238
25	90	40.393803
25	100	62.344826
25	110	54.091213
25	120	45.134904
25	130	20.831039
25	140	25.830574
25	150	37.182168
25	160	70.774724
25	170	71.477209
25	180	66.560201
30	0	63.958829
30	10	70.206718
30	20	12.721032
30	30	4.010026
30	40	4.245223
30	50	4.006296
30	60	21.808935
30	70	21.678454
30	80	19.239715
30	90	20.842263
30	100	17.922039
30	110	22.733220
30	120	4.568614
30	130	19.524559
30	140	19.429023
30	150	43.342289
30	160	61.202093
30	170	67.818085
30	180	69.104473
35	0	71.309882
35	10	69.366250
35	20	3.677672
35	30	3.372691
35	40	3.347384
35	50	3.104470
35	60	17.933112
35	70	19.411677
35	80	15.535506
35	90	18.673366
35	100	16.786758
35	110	16.693488
35	120	9.834892
35	130	18.696661
35	140	14.981793
35	150	32.579187
35	160	68.006797
35	170	74.418511
35	180	58.680785
40	0	60.878688
40	10	54.021772
40	20	3.647792
40	30	4.156788
40	40	3.629031
40	50	4.160964
40	60	13.930080
40	70	15.049896
40	80	16.942546
40	90	13.319249
40	100	17.223098
40	110	13.553937
40	120	15.342862
40	130	13.306784
40	140	17.347755
40	150	34.419830
40	160	57.554485
40	170	55.061341
40	180	54.230324
45	0	54.338389
45	10	55.598212
45	20	6.429665
45	30	8.558936
45	40	8.680523
45	50	7.834204
45	60	20.366742
45	70	15.333985
45	80	18.557072
45	90	17.789586
45	100	16.639432
45	110	19.668985
45	120	18.851903
45	130	16.403088
45	140	16.828420
45	150	41.013493
45	160	49.229094
45	170	51.299855
45	180	61.450899
50	0	68.440978
50	10	35.163088
50	20	12.856701
50	30	12.683381
50	40	12.854262
50	50	11.299340
50	60	20.881677
50	70	22.726355
50	80	19.393582
50	90	24.070829
50	100	19.611508
50	110	21.572447
50	120	19.913557
50	130	25.038851
50	140	21.701125
50	150	53.288098
50	160	51.356710
50	170	53.981294
50	180	46.231280
55	0	54.140029
55	10	31.164559
55	20	13.211763
55	30	14.033112
55	40	12.637342
55	50	15.192957
55	60	21.894221
55	70	25.432096
55	80	22.504756
55	90	19.456631
55	100	24.639937
55	110	25.088009
55	120	20.488225
55	130	20.254894
55	140	26.899331
55	150	59.551145
55	160	42.902233
55	170	40.987716
55	180	42.041731
60	0	48.005301
60	10	33.171917
60	20	11.154123
60	30	14.130398
60	40	13.898021
60	50	12.261989
60	60	22.775949
60	70	18.564779
60	80	22.425870
60	90	19.951282
60	100	20.625780
60	110	18.143027
60	120	22.541242
60	130	18.272579
60	140	18.680748
60	150	47.655176
60	160	37.787490
60	170	39.760979
60	180	43.230223
65	0	50.844173
65	10	24.369512
65	20	8.934673
65	30	8.270034
65	40	7.975485
65	50	7.426199
65	60	14.248704
65	70	14.934459
65	80	14.437025
65	90	17.852677
65	100	13.860550
65	110	15.140811
65	120	16.046814
65	130	18.115635
65	140	15.751844
65	150	44.253857
65	160	40.789090
65	170	38.793072
65	180	28.737938
70	0	36.812353
70	10	7.509658
70	20	3.536982
70	30	9.073240
70	40	8.207886
70	50	9.994809
70	60	16.244479
70	70	17.780134
70	80	14.290148
70	90	14.476276
70	100	15.918736
70	110	17.314703
70	120	15.592913
70	130	14.196815
70	140	30.762985
70	150	33.648124
70	160	40.442058
70	170	37.603453
70	180	13.242114
75	0	40.220528
75	10	3.746664
75	20	3.586331
75	30	12.450086
75	40	11.472364
75	50	9.227826
75	60	16.484281
75	70	14.024706
75	80	16.176968
75	90	12.450483
75	100	14.947088
75	110	13.176054
75	120	14.024596
75	130	12.062826
75	140	32.226535
75	150	48.583812
75	160	42.065356
75	170	46.800187
75	180	0.000000
80	0	57.013153
80	10	7.424131
80	20	5.749211
80	30	14.833534
80	40	12.129952
80	50	10.984409
80	60	13.541606
80	70	13.514257
80	80	14.045986
80	90	12.991973
80	100	13.000969
80	110	12.102731
80	120	12.680062
80	130	12.349925
80	140	39.516461
80	150	60.221082
80	160	58.571265
80	170	44.731408
80	180	0.000000
10	0
0	0	19.976571
5	0	14.865178
5	10	11.901624
5	20	12.264230
5	30	21.204577
5	40	17.226561
5	50	19.862561
5	60	18.999913
5	70	20.118254
5	80	18.472688
5	90	18.536553
5	100	20.996909
5	110	18.888079
5	120	22.354950
5	130	18.952048
5	140	22.083449
10	0	10.093379
10	10	12.827799
10	20	10.204833
10	30	16.342795
10	40	19.946783
10	50	18.169039
10	60	51.768140
10	70	47.420810
10	80	45.578486
