type bsdf_data
format angles=deg bsdf=value scale=1
10	0
0	0	0.004221
5	0	0.004282
5	10	0.004389
5	20	0.004337
5	30	0.004185
5	40	0.004270
5	50	0.004171
5	60	0.004200
5	70	0.004225
5	80	0.004190
5	90	0.004151
5	100	0.004146
5	110	0.004242
5	120	0.004258
5	130	0.004307
5	140	0.004373
10	0	0.004439
10	10	0.004388
10	20	0.004380
10	30	0.004197
10	40	0.004277
10	50	0.004246
10	60	0.003821
10	70	0.003958
10	80	0.003992
10	90	0.003797
10	100	0.003949
10	110	0.003986
10	120	0.004246
10	130	0.004049
10	140	0.004270
15	0	0.004347
15	10	0.004291
15	20	0.004314
15	30	0.004280
15	40	0.004142
15	50	0.004210
15	60	0.003899
15	70	0.003826
15	80	0.003833
15	90	0.003912
15	100	0.003838
15	110	0.003911
15	120	0.004195
15	130	0.004068
15	140	0.004053
20	0	0.003773
20	10	0.003790
20	20	0.004485
20	30	0.004442
20	40	0.004057
20	50	0.004189
20	60	0.003971
20	70	0.003861
20	80	0.003907
20	90	0.003874
20	100	0.003954
20	110	0.003859
20	120	0.004196
20	130	0.003952
20	140	0.004067
25	0	0.003494
25	10	0.003449
25	20	0.003693
25	30	0.004322
25	40	0.004292
25	50	0.004215
25	60	0.004039
25	70	0.003983
25	80	0.004027
25	90	0.004028
25	100	0.003990
25	110	0.004030
25	120	0.004206
25	130	0.004023
25	140	0.004109
25	150	0.003898
25	160	0.003517
25	170	0.003819
25	180	0.003561
30	0	0.003817
30	10	0.003297
30	20	0.004112
30	30	0.004475
30	40	0.004418
30	50	0.004297
30	60	0.004200
30	70	0.004177
30	80	0.004059
30	90	0.004068
30	100	0.004141
30	110	0.004117
30	120	0.004350
30	130	0.004206
30	140	0.004162
30	150	0.004026
30	160	0.003804
30	170	0.003624
30	180	0.003694
35	0	0.003590
35	10	0.002957
35	20	0.004389
35	30	0.004393
35	40	0.004383
35	50	0.004422
35	60	0.004258
35	70	0.004241
35	80	0.004287
35	90	0.004212
35	100	0.004150
35	110	0.004217
35	120	0.004268
35	130	0.004212
35	140	0.004233
35	150	0.004051
35	160	0.003600
35	170	0.003528
35	180	0.003742
40	0	0.003846
40	10	0.003066
40	20	0.004558
40	30	0.004323
40	40	0.004467
40	50	0.004452
40	60	0.004387
40	70	0.004274
40	80	0.004282
40	90	0.004298
40	100	0.004351
40	110	0.004223
40	120	0.004234
40	130	0.004227
40	140	0.004165
40	150	0.003871
40	160	0.003829
40	170	0.003835
40	180	0.003681
45	0	0.003853
45	10	0.003342
45	20	0.004535
45	30	0.004666
45	40	0.004623
45	50	0.004490
45	60	0.004308
45	70	0.004446
45	80	0.004271
45	90	0.004344
45	100	0.004272
45	110	0.004406
45	120	0.004392
45	130	0.004367
45	140	0.004366
45	150	0.004085
45	160	0.003827
45	170	0.003808
45	180	0.003857
50	0	0.003572
50	10	0.004037
50	20	0.004558
50	30	0.004495
50	40	0.004552
50	50	0.004608
50	60	0.004527
50	70	0.004455
50	80	0.004582
50	90	0.004533
50	100	0.004427
50	110	0.004367
50	120	0.004293
50	130	0.004229
50	140	0.004191
50	150	0.003935
50	160	0.003972
