type bsdf_data
format angles=deg bsdf=value scale=1
0	0
0	0	18.676577
5	40	18.061466
5	50	15.968508
5	60	18.253118
5	70	16.399661
5	80	18.364776
5	90	17.597930
5	100	18.876065
5	110	19.834611
5	120	17.629995
5	130	18.860201
5	140	16.048374
10	40	15.167098
10	50	17.445736
10	60	40.782988
10	70	48.556469
10	80	46.714032
10	90	40.281818
10	100	41.994967
10	110	37.841570
10	120	16.605234
10	130	31.118587
10	140	20.661908
15	0	8.938406
15	10	8.083270
15	20	7.175407
15	30	8.806409
15	40	18.247922
15	50	17.671147
15	60	43.903148
15	70	43.919625
15	80	39.734402
15	90	46.275645
15	100	39.981572
15	110	44.545749
15	120	17.390908
15	130	43.408840
15	140	42.321379
15	150	19.747405
15	160	10.358602
15	170	12.428039
15	180	11.635466
20	0	14.721076
20	10	17.358204
20	20	4.008223
20	30	4.653350
20	40	15.047501
20	50	15.183233
20	60	39.606959
20	70	36.117972
20	80	37.760649
20	90	41.554637
20	100	41.944152
20	110	41.520814
20	120	15.115401
20	130	40.335213
20	140	34.068503
20	150	18.706247
20	160	24.126162
20	170	23.025059
20	180	25.345518
25	0	83.423465
25	10	67.091512
25	20	34.637459
25	30	4.380121
25	40	3.969128
25	50	4.276337
25	60	20.580385
25	70	24.745791
25	80	26.449171
25	90	40.397754
25	100	62.348795
25	110	54.095147
25	120	45.138539
25	130	20.834964
25	140	25.834473
25	150	37.186357
25	160	70.779404
25	170	71.481942
25	180	66.564951
30	0	63.963506
30	10	70.210889
30	20	12.724744
30	30	4.013729
30	40	4.248890
30	50	4.009944
30	60	21.812813
30	70	21.682332
30	80	19.243565
30	90	20.846131
30	100	17.925889
30	110	22.736987
30	120	4.572226
30	130	19.528400
30	140	19.432892
30	150	43.346452
30	160	61.206678
30	170	67.822716
30	180	69.109059
35	0	71.314487
35	10	69.370146
35	20	3.681276
35	30	3.376353
35	40	3.350998
35	50	3.108036
35	60	17.936930
35	70	19.415495
35	80	15.539285
35	90	18.677184
35	100	16.790547
35	110	16.697267
35	120	9.838593
35	130	18.700460
35	140	14.985591
35	150	32.583326
35	160	68.011285
35	170	74.423067
35	180	58.685293
40	0	60.883103
40	10	54.025418
40	20	3.651438
40	30	4.160414
40	40	3.632615
40	50	4.164611
40	60	13.933872
40	70	15.053667
40	80	16.946255
40	90	13.323031
40	100	17.226879
40	110	13.557635
40	120	15.346653
40	130	13.310565
40	140	17.351536
40	150	34.423882
40	160	57.558889
40	170	55.065745
40	180	54.234759
45	0	54.342688
45	10	55.601893
45	20	6.433323
45	30	8.562616
45	40	8.684249
45	50	7.837906
45	60	20.370579
45	70	15.337834
45	80	18.560876
45	90	17.793424
45	100	16.643270
45	110	19.672812
45	120	18.855685
45	130	16.406914
45	140	16.832179
45	150	41.017579
45	160	49.233393
45	170	51.304188
45	180	61.455209
50	0	68.445001
50	10	35.166814
50	20	12.860428
50	30	12.687107
50	40	12.858026
50	50	11.303116
50	60	20.885626
50	70	22.730354
50	80	19.397519
50	90	24.074828
50	100	19.615482
50	110	21.576359
50	120	19.917506
50	130	25.042750
50	140	21.704963
50	150	53.292431
50	160	51.360944
50	170	53.985541
50	180	46.235427
55	0	54.144067
55	10	31.168319
55	20	13.215564
55	30	14.036927
55	40	12.641104
55	50	15.196758
55	60	21.898189
55	70	25.436091
55	80	22.508808
55	90	19.460654
55	100	24.643974
55	110	25.091991
55	120	20.492179
55	130	20.258820
55	140	26.903257
55	150	59.555474
55	160	42.906339
55	170	40.991906
55	180	42.045519
60	0	48.009471
60	10	33.175943
60	20	11.157850
60	30	14.134204
60	40	13.901815
60	50	12.265865
60	60	22.780009
60	70	18.568910
60	80	22.429993
60	90	19.955356
60	100	20.629855
60	110	18.147133
60	120	22.545189
60	130	18.274171
60	140	18.684663
60	150	47.659362
60	160	37.791596
60	170	39.765054
60	180	43.233963
65	0	50.848334
65	10	24.373477
65	20	8.938337
65	30	8.273858
65	40	7.979257
65	50	7.430132
65	60	14.252790
65	70	14.938524
65	80	14.441135
65	90	17.854861
65	100	13.862489
65	110	15.142596
65	120	16.050779
65	130	18.117162
65	140	15.755711
65	150	44.258075
65	160	40.793193
65	170	38.797097
65	180	28.741854
70	0	36.816475
70	10	7.513416
70	20	3.540654
70	30	9.077044
70	40	8.211865
70	50	9.998814
70	60	16.248665
70	70	17.784359
70	80	14.294422
70	90	14.480544
70	100	15.922914
70	110	17.318835
70	120	15.597006
70	130	14.200824
70	140	30.767134
70	150	33.652317
70	160	40.446251
70	170	37.607601
70	180	13.245830
75	0	40.224799
