type bsdf_data
format angles=deg bsdf=value scale=1
10	0
0	0	0.008294
5	0	0.008316
5	10	0.008471
5	20	0.008363
5	30	0.008227
5	40	0.008392
5	50	0.008205
5	60	0.008306
5	70	0.008331
5	80	0.008288
5	90	0.008209
5	100	0.008213
5	110	0.008348
5	120	0.008380
5	130	0.008477
5	140	0.008591
10	0	0.008496
10	10	0.008420
10	20	0.008380
10	30	0.008205
10	40	0.008365
10	50	0.008303
10	60	0.008225
10	70	0.008346
10	80	0.008412
10	90	0.008201
10	100	0.008353
10	110	0.008415
10	120	0.008311
10	130	0.008445
10	140	0.008439
15	0	0.008343
15	10	0.008238
15	20	0.008252
15	30	0.008193
15	40	0.008104
15	50	0.008231
15	60	0.008232
15	70	0.008119
15	80	0.008183
15	90	0.008229
15	100	0.008188
15	110	0.008236
15	120	0.008216
15	130	0.008501
15	140	0.008559
20	0	0.007830
20	10	0.007830
20	20	0.008406
20	30	0.008304
20	40	0.007894
20	50	0.008169
20	60	0.008264
20	70	0.008113
20	80	0.008158
20	90	0.008092
20	100	0.008214
20	110	0.008119
20	120	0.008159
20	130	0.008271
20	140	0.008479
25	0	0.008385
25	10	0.008111
25	20	0.007521
25	30	0.008150
25	40	0.008103
25	50	0.007981
25	60	0.008113
25	70	0.007978
25	80	0.008022
25	90	0.008076
25	100	0.007976
25	110	0.008060
25	120	0.007964
25	130	0.008089
25	140	0.008218
25	150	0.008236
25	160	0.008382
25	170	0.008701
25	180	0.008461
30	0	0.008558
30	10	0.007597
30	20	0.007907
30	30	0.008316
30	40	0.008158
30	50	0.007991
30	60	0.008207
30	70	0.008165
30	80	0.008001
30	90	0.007973
30	100	0.008120
30	110	0.008032
30	120	0.008081
30	130	0.008176
30	140	0.008114
30	150	0.008354
30	160	0.008536
30	170	0.008365
30	180	0.008435
35	0	0.008283
35	10	0.006998
35	20	0.008197
35	30	0.008114
35	40	0.008162
35	50	0.008182
35	60	0.008251
35	70	0.008166
35	80	0.008241
35	90	0.008108
35	100	0.008007
35	110	0.008132
35	120	0.008096
35	130	0.008137
35	140	0.008148
35	150	0.008248
35	160	0.008234
35	170	0.008133
35	180	0.008308
40	0	0.008458
40	10	0.006848
40	20	0.008329
40	30	0.008053
40	40	0.008279
40	50	0.008234
40	60	0.008324
40	70	0.008222
40	80	0.008188
40	90	0.008193
40	100	0.008257
40	110	0.008088
40	120	0.008098
40	130	0.008081
40	140	0.007977
40	150	0.007995
40	160	0.008317
40	170	0.008344
40	180	0.008159
45	0	0.008287
45	10	0.007146
45	20	0.008350
45	30	0.008537
45	40	0.008494
45	50	0.008317
45	60	0.008259
45	70	0.008419
45	80	0.008165
45	90	0.008328
45	100	0.008177
45	110	0.008311
45	120	0.008286
45	130	0.008238
45	140	0.008248
45	150	0.008204
45	160	0.008149
45	170	0.008164
45	180	0.008190
50	0	0.007843
50	10	0.008011
50	20	0.008569
50	30	0.008469
50	40	0.008588
50	50	0.008557
50	60	0.008638
50	70	0.008590
50	80	0.008704
50	90	0.008656
50	100	0.008463
50	110	0.008403
50	120	0.008267
50	130	0.008154
50	140	0.008066
50	150	0.008404
50	160	0.008218
50	170	0.008214
50	180	0.008095
55	0	0.008087
55	10	0.008016
55	20	0.008710
55	30	0.008807
55	40	0.008825
55	50	0.008779
55	60	0.008897
55	70	0.008924
55	80	0.008825
55	90	0.008888
55	100	0.008674
55	110	0.008635
55	120	0.008572
55	130	0.008465
55	140	0.008335
55	150	0.008304
55	160	0.008281
55	170	0.008213
55	180	0.007531
60	0	0.008739
60	10	0.008908
60	20	0.009028
60	30	0.009207
60	40	0.008902
60	50	0.009096
60	60	0.009233
60	70	0.009483
60	80	0.009308
60	90	0.008933
60	100	0.009081
60	110	0.008798
60	120	0.008677
60	130	0.008728
60	140	0.008587
60	150	0.008676
60	160	0.008415
60	170	0.008274
60	180	0.007619
65	0	0.009504
65	10	0.009561
65	20	0.009324
65	30	0.009117
65	40	0.009550
65	50	0.009705
65	60	0.009783
65	70	0.009697
65	80	0.009666
65	90	0.009645
65	100	0.009555
65	110	0.009218
65	120	0.008963
65	130	0.008830
65	140	0.008610
65	150	0.008761
65	160	0.008434
65	170	0.008467
65	180	0.008118
70	0	0.009965
70	10	0.009735
70	20	0.010135
70	30	0.010465
70	40	0.010326
70	50	0.010186
70	60	0.010298
70	70	0.010582
70	80	0.010451
70	90	0.010391
70	100	0.009833
70	110	0.009949
70	120	0.009763
70	130	0.009595
70	140	0.009346
70	150	0.008873
70	160	0.009005
70	170	0.008977
70	180	0.008562
75	0	0.010751
75	10	0.010386
75	20	0.010589
75	30	0.010614
75	40	0.010761
75	50	0.011554
75	60	0.011419
75	70	0.011001
75	80	0.011235
75	90	0.010872
75	100	0.011235
75	110	0.010583
75	120	0.010441
75	130	0.009704
75	140	0.009865
75	150	0.009659
75	160	0.009432
75	170	0.009229
75	180	0.008978
80	0	0.012731
80	10	0.012062
