type bsdf_data
format angles=deg bsdf=value scale=1
0	0
0	0	18.676109
5	40	18.053206
5	50	15.960312
5	60	18.244922
5	70	16.391672
5	80	18.356756
5	90	17.589894
5	100	18.867997
5	110	19.826574
5	120	17.621846
5	130	18.852021
5	140	16.040194
10	40	15.159033
10	50	17.437737
10	60	40.774244
10	70	48.547693
10	80	46.705337
10	90	40.273253
10	100	41.986321
10	110	37.832939
10	120	16.597364
10	130	31.109956
10	140	20.653779
15	0	8.930497
15	10	8.075344
15	20	7.167465
15	30	8.798682
15	40	18.239964
15	50	17.663271
15	60	43.894547
15	70	43.911024
15	80	39.725883
15	90	46.267225
15	100	39.973037
15	110	44.537147
15	120	17.383163
15	130	43.400239
15	140	42.312762
15	150	19.739365
15	160	10.350809
15	170	12.420311
15	180	11.627771
20	0	14.713098
20	10	17.350176
20	20	4.000499
20	30	4.645796
20	40	15.039981
20	50	15.175476
20	60	39.598508
20	70	36.109503
20	80	37.752384
20	90	41.546253
20	100	41.935802
20	110	41.512379
20	120	15.107728
20	130	40.326795
20	140	34.060136
20	150	18.698354
20	160	24.118167
20	170	23.017268
20	180	25.337625
25	0	83.413823
25	10	67.082275
25	20	34.629907
25	30	4.372640
25	40	3.961717
25	50	4.269032
25	60	20.572483
25	70	24.737906
25	80	26.441304
25	90	40.389851
25	100	62.340858
25	110	54.087279
25	120	45.131269
25	130	20.827115
25	140	25.826676
25	150	37.177980
25	160	70.770044
25	170	71.472476
25	180	66.555451
30	0	63.954152
30	10	70.202546
30	20	12.717320
30	30	4.006323
30	40	4.241557
30	50	4.002648
30	60	21.805058
30	70	21.674576
30	80	19.235865
30	90	20.838394
30	100	17.918189
30	110	22.729452
30	120	4.565003
30	130	19.520718
30	140	19.425155
30	150	43.338127
30	160	61.197507
30	170	67.813454
30	180	69.099888
35	0	71.305278
35	10	69.362355
35	20	3.674067
35	30	3.369028
35	40	3.343770
35	50	3.100905
35	60	17.929294
35	70	19.407859
35	80	15.531727
35	90	18.669548
35	100	16.782970
35	110	16.689709
35	120	9.831191
35	130	18.692863
35	140	14.977994
35	150	32.575049
35	160	68.002308
35	170	74.413955
35	180	58.676277
40	0	60.874273
40	10	54.018126
40	20	3.644146
40	30	4.153163
40	40	3.625447
40	50	4.157318
40	60	13.926288
40	70	15.046126
40	80	16.938838
40	90	13.315468
40	100	17.219316
40	110	13.550239
40	120	15.339070
40	130	13.303002
40	140	17.343973
40	150	34.415779
40	160	57.550080
40	170	55.056936
40	180	54.225888
45	0	54.334089
45	10	55.594532
45	20	6.426008
45	30	8.555256
45	40	8.676798
45	50	7.830501
45	60	20.362904
45	70	15.330136
45	80	18.553268
45	90	17.785749
45	100	16.635595
45	110	19.665159
45	120	18.848122
45	130	16.399262
45	140	16.824661
45	150	41.009408
45	160	49.224794
45	170	51.295522
45	180	61.446588
50	0	68.436954
50	10	35.159361
50	20	12.852975
50	30	12.679654
50	40	12.850499
50	50	11.295564
50	60	20.877728
50	70	22.722356
50	80	19.389645
50	90	24.066830
50	100	19.607534
50	110	21.568535
50	120	19.909607
50	130	25.034951
50	140	21.697287
50	150	53.283765
50	160	51.352476
50	170	53.977048
50	180	46.227132
55	0	54.135992
55	10	31.160799
55	20	13.207961
55	30	14.029296
55	40	12.633581
55	50	15.189155
55	60	21.890253
55	70	25.428100
55	80	22.500705
55	90	19.452607
55	100	24.635900
55	110	25.084027
55	120	20.484271
55	130	20.250968
55	140	26.895404
55	150	59.546816
55	160	42.898126
55	170	40.983526
55	180	42.037943
60	0	48.001131
60	10	33.167890
60	20	11.150395
60	30	14.126593
60	40	13.894226
60	50	12.258114
60	60	22.771889
60	70	18.560649
60	80	22.421748
60	90	19.947207
60	100	20.621706
60	110	18.138921
60	120	22.537295
60	130	18.270987
60	140	18.676832
60	150	47.650990
60	160	37.783383
60	170	39.756905
60	180	43.226482
65	0	50.840011
65	10	24.365546
65	20	8.931008
65	30	8.266209
65	40	7.971714
65	50	7.422265
65	60	14.244618
65	70	14.930393
65	80	14.432914
65	90	17.850493
65	100	13.858610
65	110	15.139026
65	120	16.042848
65	130	18.114108
65	140	15.747976
65	150	44.249640
65	160	40.784987
65	170	38.789046
65	180	28.734021
70	0	36.808230
70	10	7.505901
70	20	3.533311
70	30	9.069436
70	40	8.203907
70	50	9.990805
70	60	16.240293
70	70	17.775908
70	80	14.285874
70	90	14.472009
70	100	15.914557
70	110	17.310571
70	120	15.588820
70	130	14.192806
70	140	30.758837
70	150	33.643932
70	160	40.437865
70	170	37.599304
70	180	13.238398
75	0	40.216257
75	10	3.743063
75	20	3.582567
75	30	12.446132
75	40	11.468397
75	50	9.223912
75	60	16.480056
75	70	14.020346
75	80	16.172593
75	90	12.446132
75	100	14.942738
75	110	13.171746
75	120	14.020346
75	130	12.058728
75	140	32.222200
75	150	48.579271
75	160	42.061039
75	170	46.795981
75	180	0.000000
80	0	57.008588
80	10	7.420282
80	20	5.746686
80	30	14.829565
80	40	12.125782
80	50	10.980111
80	60	13.537248
80	70	13.509752
80	80	14.041343
80	90	12.987326
80	100	12.996491
80	110	12.098285
80	120	12.675704
80	130	12.345750
80	140	39.511901
80	150	60.216467
80	160	58.566701
80	170	44.726995
80	180	0.000000
10	0
0	0	19.972498
5	0	14.861144
5	10	11.897542
5	20	12.260204
5	30	21.200535
5	40	17.222439
5	50	19.858527
5	60	18.995807
5	70	20.114148
5	80	18.468590
5	90	18.532495
5	100	20.992843
5	110	18.883973
5	120	22.350828
5	130	18.947878
5	140	22.079231
10	0	10.089322
10	10	12.823766
10	20	10.200833
10	30	16.338787
10	40	19.942694
10	50	18.164982
10	60	51.763736
10	70	47.416422
10	80	45.574066
10	90	47.400261
10	100	41.679261
10	110	50.955685
10	120	16.354948
10	130	41.921677
10	140	19.538669
15	0	10.439784
15	10	9.251797
15	20	6.897244
15	30	7.989664
15	40	19.426303
15	50	17.696225
15	60	46.201318
15	70	48.639904
15	80	47.898442
15	90	50.485320
15	100	48.277411
15	110	43.630916
15	120	18.553025
15	130	42.543439
15	140	41.109946
20	0	18.872805
20	10	15.646322
20	20	5.739920
20	30	6.591847
20	40	14.006829
20	50	20.832406
20	60	40.462290
20	70	49.117054
20	80	43.273818
20	90	39.632382
20	100	45.441744
20	110	41.901928
20	120	21.560693
20	130	39.717066
20	140	44.069853
25	0	76.740718
25	10	83.413823
25	20	34.665029
25	30	4.534200
25	40	5.250681
25	50	4.414786
25	60	28.004216
25	70	24.374397
25	80	22.649926
25	90	48.292214
25	100	53.736063
25	110	60.760385
25	120	39.371325
25	130	29.375714
25	140	26.685399
25	150	44.428836
25	160	68.838355
25	170	72.877341
25	180	67.433491
30	0	80.310242
30	10	74.245624
30	20	13.342159
30	30	3.892382
30	40	4.270961
30	50	3.971406
30	60	22.058669
30	70	19.965457
30	80	21.494476
30	90	23.361643
30	100	24.875960
30	110	19.575851
30	120	5.421401
30	130	20.057345
30	140	18.656970
30	150	35.507418
30	160	81.045347
30	170	84.720873
30	180	81.045347
35	0	67.419431
35	10	69.556647
35	20	4.223915
35	30	4.439579
35	40	3.635209
35	50	4.383234
35	60	16.940346
35	70	22.390246
35	80	21.422670
35	90	16.734396
35	100	19.112534
35	110	19.687640
35	120	13.971560
35	130	16.843200
35	140	18.756979
35	150	42.633561
35	160	67.225139
35	170	64.699339
35	180	68.390893
40	0	63.159655
40	10	64.198465
40	20	4.475194
40	30	4.485582
40	40	4.828389
40	50	4.078368
40	60	20.053190
40	70	15.395166
40	80	15.625782
40	90	19.242918
40	100	14.840441
40	110	17.258791
40	120	14.057178
40	130	19.018535
40	140	18.492897
40	150	40.719279
40	160	54.018126
40	170	58.588890
40	180	61.082035
45	0	65.272933
45	10	55.819611
45	20	6.954943
45	30	7.668444
45	40	7.654939
45	50	8.001561
45	60	17.648450
45	70	18.188640
45	80	17.986069
45	90	18.375456
45	100	21.801159
45	110	16.833664
45	120	19.487346
45	130	18.600535
45	140	17.342343
45	150	35.224876
45	160	64.822775
45	170	67.523724
45	180	56.494849
50	0	66.778026
50	10	39.096219
50	20	14.667891
50	30	16.765073
50	40	14.719887
50	50	15.584015
50	60	23.319075
50	70	27.862556
50	80	27.666951
50	90	21.969649
50	100	23.796945
50	110	26.919195
50	120	26.074876
50	130	21.164945
50	140	24.631361
50	150	62.197405
50	160	52.045759
50	170	51.104875
50	180	57.195862
55	0	60.351503
55	10	34.102068
55	20	17.877919
55	30	15.979968
55	40	15.968869
55	50	13.335601
55	60	21.745964
55	70	22.370290
55	80	22.997391
55	90	28.311098
55	100	21.407441
55	110	24.404483
55	120	20.736776
55	130	26.952010
55	140	29.459858
55	150	68.093144
55	160	40.595057
55	170	42.287674
55	180	45.506421
60	0	52.011835
60	10	34.059158
60	20	13.941973
60	30	11.898423
60	40	11.548282
60	50	12.964761
60	60	24.961861
60	70	20.629664
60	80	20.133100
60	90	19.869858
60	100	25.097779
60	110	19.073765
60	120	22.406788
60	130	22.449441
60	140	20.308807
60	150	48.478595
60	160	47.619159
60	170	49.656342
60	180	42.176060
65	0	51.668515
65	10	28.470406
65	20	8.981735
65	30	11.169739
65	40	10.795406
65	50	10.486600
65	60	18.299015
65	70	20.744607
65	80	20.751763
65	90	16.570078
65	100	17.177070
65	110	20.223027
65	120	19.281168
65	130	14.972948
65	140	19.571898
65	150	44.965166
65	160	44.513254
65	170	39.165638
65	180	34.307593
70	0	46.626860
70	10	8.417963
70	20	3.454669
70	30	11.856810
70	40	10.125753
70	50	10.716732
70	60	17.170969
70	70	15.914557
70	80	16.845233
70	90	18.520449
70	100	15.821489
70	110	16.100692
70	120	15.542286
70	130	15.961091
70	140	27.827208
70	150	48.860482
70	160	38.297311
70	170	42.578420
70	180	16.141176
75	0	42.429996
75	10	4.728792
75	20	4.330934
75	30	11.339263
75	40	12.575267
75	50	10.914963
75	60	16.971998
75	70	15.004230
75	80	16.418564
75	90	13.651390
75	100	13.405419
75	110	16.234085
75	120	15.127216
75	130	16.849013
75	140	38.863417
75	150	49.378676
75	160	47.103445
75	170	40.400735
75	180	1.649850
80	0	58.933315
80	10	9.132372
80	20	6.790621
80	30	20.255463
80	40	18.321570
80	50	14.114666
80	60	17.240057
80	70	18.138263
80	80	16.644308
80	90	14.637092
80	100	14.398793
80	110	16.204370
80	120	15.837756
80	130	13.564744
80	140	41.335809
80	150	59.941506
80	160	65.074112
80	170	54.258978
80	180	0.527009
20	0
0	0	16.496410
5	0	14.202921
5	10	11.918311
5	20	11.903933
5	30	19.379238
5	40	22.095207
5	50	21.871539
5	60	21.552014
5	70	17.861491
5	80	21.408227
5	90	19.475096
5	100	17.254392
5	110	20.034266
5	120	17.973325
5	130	17.909420
5	140	18.037230
5	150	19.203499
5	160	9.841394
5	170	12.301742
5	180	10.269558
10	0	9.937409
10	10	10.708289
10	20	8.668769
10	30	16.112533
10	40	16.936745
10	50	17.470059
10	60	45.978092
10	70	47.917414
10	80	40.192448
10	90	42.309541
10	100	52.248566
10	110	47.093202
10	120	18.843745
10	130	41.792388
10	140	23.433474
15	0	9.935590
15	10	10.696824
15	20	8.648742
15	30	7.811713
15	40	18.239964
15	50	15.883762
15	60	39.050329
15	70	45.212702
15	80	43.120131
15	90	43.169562
15	100	41.439484
15	110	40.681545
15	120	17.350209
15	130	41.917315
15	140	37.649790
20	0	19.668840
20	10	15.480340
20	20	5.487560
20	30	6.373361
20	40	16.242502
20	50	20.205740
20	60	44.476339
20	70	38.565356
20	80	44.984447
20	90	42.122108
20	100	37.481393
20	110	39.869498
20	120	18.071688
20	130	35.990945
20	140	38.954905
25	0	71.648084
25	10	70.418828
25	20	37.896217
25	30	4.899464
25	40	4.769514
25	50	5.233120
25	60	24.664150
25	70	26.664326
25	80	23.297920
25	90	47.414173
25	100	64.272546
25	110	58.477480
25	120	45.429802
25	130	26.021601
25	140	27.716218
30	0	63.402823
30	10	71.672756
30	20	14.646971
30	30	4.101887
