type bsdf_data
format angles=deg bsdf=value scale=1
10	0
0	0	0.000148
5	0	0.000248
5	10	0.000307
5	20	0.000311
5	30	0.000143
5	40	0.000148
5	50	0.000137
5	60	0.000094
5	70	0.000119
5	80	0.000092
5	90	0.000093
5	100	0.000080
5	110	0.000136
5	120	0.000136
5	130	0.000137
5	140	0.000155
10	0	0.000383
10	10	0.000355
10	20	0.000380
10	30	0.000189
10	40	0.000188
10	50	0.000190
10	60	0.000085
10	70	0.000081
10	80	0.000091
10	90	0.000098
10	100	0.000095
10	110	0.000075
10	120	0.000182
10	130	0.000093
10	140	0.000100
15	0	0.000351
15	10	0.000345
15	20	0.000375
15	30	0.000366
15	40	0.000179
15	50	0.000190
15	60	0.000048
15	70	0.000038
15	80	0.000040
15	90	0.000038
15	100	0.000042
15	110	0.000044
15	120	0.000175
15	130	0.000046
15	140	0.000051
20	0	0.000000
20	10	0.000342
20	20	0.000564
20	30	0.000581
20	40	0.000237
20	50	0.000222
20	60	0.000000
20	70	0.000000
20	80	0.000000
20	90	0.000000
20	100	0.000000
20	110	0.000000
20	120	0.000245
20	130	0.000000
20	140	0.000000
25	0	0.000000
25	10	0.000000
25	20	0.000270
25	30	0.000493
25	40	0.000481
25	50	0.000448
25	60	0.000235
25	70	0.000186
25	80	0.000242
25	90	0.000239
25	100	0.000263
25	110	0.000198
25	120	0.000448
25	130	0.000211
25	140	0.000216
25	150	0.000212
25	160	0.000000
25	170	0.000000
25	180	0.000000
30	0	0.000000
30	10	0.000000
30	20	0.000317
30	30	0.000634
30	40	0.000678
30	50	0.000603
30	60	0.000309
30	70	0.000329
30	80	0.000274
30	90	0.000277
30	100	0.000292
30	110	0.000358
30	120	0.000619
30	130	0.000366
30	140	0.000366
30	150	0.000338
30	160	0.000000
30	170	0.000000
30	180	0.000000
35	0	0.000000
35	10	0.000000
35	20	0.000581
35	30	0.000672
35	40	0.000604
35	50	0.000662
35	60	0.000313
35	70	0.000367
35	80	0.000375
35	90	0.000369
35	100	0.000338
35	110	0.000344
35	120	0.000440
35	130	0.000340
35	140	0.000355
35	150	0.000383
35	160	0.000000
35	170	0.000000
35	180	0.000000
40	0	0.000000
40	10	0.000000
40	20	0.000787
40	30	0.000594
40	40	0.000654
40	50	0.000671
40	60	0.000450
40	70	0.000327
40	80	0.000376
40	90	0.000402
40	100	0.000445
40	110	0.000359
40	120	0.000369
40	130	0.000373
40	140	0.000352
40	150	0.000322
40	160	0.000000
40	170	0.000000
40	180	0.000000
45	0	0.000000
45	10	0.000000
45	20	0.000720
45	30	0.000794
45	40	0.000752
45	50	0.000664
45	60	0.000358
45	70	0.000473
45	80	0.000377
45	90	0.000360
45	100	0.000367
45	110	0.000500
45	120	0.000498
45	130	0.000495
45	140	0.000483
45	150	0.000374
45	160	0.000000
45	170	0.000000
45	180	0.000000
50	0	0.000000
50	10	0.000130
50	20	0.000547
50	30	0.000521
50	40	0.000516
50	50	0.000659
50	60	0.000508
50	70	0.000408
50	80	0.000525
50	90	0.000500
50	100	0.000480
50	110	0.000401
50	120	0.000406
50	130	0.000396
50	140	0.000423
50	150	0.000000
50	160	0.000000
