type bsdf_data
format angles=deg bsdf=value scale=1
0	0
0	0	0.000111
5	40	0.007959
5	50	0.007928
5	60	0.007983
5	70	0.007903
5	80	0.007880
5	90	0.007821
5	100	0.007881
5	110	0.007859
5	120	0.007944
5	130	0.007822
5	140	0.007870
10	40	0.007923
10	50	0.007956
10	60	0.007555
10	70	0.007938
10	80	0.007797
10	90	0.007633
10	100	0.007846
10	110	0.007891
10	120	0.007708
10	130	0.007868
10	140	0.007856
15	0	0.007989
15	10	0.007994
15	20	0.007984
15	30	0.007836
15	40	0.007808
15	50	0.007710
15	60	0.007357
15	70	0.007727
15	80	0.007685
15	90	0.007674
15	100	0.007697
15	110	0.007787
15	120	0.007570
15	130	0.007599
15	140	0.007766
15	150	0.007792
15	160	0.007732
15	170	0.007692
15	180	0.007742
20	0	0.007871
20	10	0.007869
20	20	0.007780
20	30	0.007714
20	40	0.007584
20	50	0.007674
20	60	0.007584
20	70	0.007609
20	80	0.007605
20	90	0.007639
20	100	0.007549
20	110	0.007622
20	120	0.007349
20	130	0.007558
20	140	0.007572
20	150	0.007533
20	160	0.007571
20	170	0.007505
20	180	0.007609
25	0	0.007390
25	10	0.007279
25	20	0.006888
25	30	0.007737
25	40	0.007569
25	50	0.007572
25	60	0.007592
25	70	0.007527
25	80	0.007513
25	90	0.007265
25	100	0.007285
25	110	0.007414
25	120	0.007433
25	130	0.007618
25	140	0.007583
25	150	0.007637
25	160	0.007398
25	170	0.007340
25	180	0.007502
30	0	0.007399
30	10	0.006969
30	20	0.007343
30	30	0.007568
30	40	0.007426
30	50	0.007527
30	60	0.007471
30	70	0.007484
30	80	0.007407
30	90	0.007469
30	100	0.007382
30	110	0.007364
30	120	0.007395
30	130	0.007414
30	140	0.007452
30	150	0.007660
30	160	0.007301
30	170	0.007132
30	180	0.007123
35	0	0.007105
35	10	0.006460
35	20	0.007412
35	30	0.007467
35	40	0.007447
35	50	0.007351
35	60	0.007410
35	70	0.007535
35	80	0.007452
35	90	0.007512
35	100	0.007469
35	110	0.007422
35	120	0.007416
35	130	0.007511
35	140	0.007462
35	150	0.007531
35	160	0.007092
35	170	0.007371
35	180	0.007232
40	0	0.007245
40	10	0.006825
40	20	0.007497
40	30	0.007413
40	40	0.007437
40	50	0.007523
40	60	0.007428
40	70	0.007461
40	80	0.007345
40	90	0.007512
40	100	0.007413
40	110	0.007387
40	120	0.007409
40	130	0.007395
40	140	0.007415
40	150	0.007371
40	160	0.007162
40	170	0.007089
40	180	0.007199
45	0	0.007074
45	10	0.006908
45	20	0.007392
45	30	0.007482
45	40	0.007512
45	50	0.007465
45	60	0.007533
45	70	0.007517
45	80	0.007494
45	90	0.007459
45	100	0.007432
45	110	0.007505
45	120	0.007507
45	130	0.007493
45	140	0.007368
45	150	0.007385
45	160	0.007250
45	170	0.007083
45	180	0.007173
50	0	0.007022
50	10	0.007095
50	20	0.007358
50	30	0.007398
50	40	0.007521
50	50	0.007563
50	60	0.007584
50	70	0.007671
50	80	0.007679
50	90	0.007835
50	100	0.007763
50	110	0.007621
50	120	0.007646
50	130	0.007602
50	140	0.007539
50	150	0.007239
50	160	0.007121
50	170	0.007192
50	180	0.007195
55	0	0.007237
55	10	0.007138
55	20	0.007360
55	30	0.007448
55	40	0.007535
55	50	0.007559
55	60	0.007742
55	70	0.007783
55	80	0.007856
55	90	0.007815
55	100	0.007825
55	110	0.007713
55	120	0.007647
55	130	0.007530
55	140	0.007519
55	150	0.007247
55	160	0.007045
55	170	0.007152
55	180	0.006940
60	0	0.007310
60	10	0.007476
60	20	0.007443
60	30	0.007606
60	40	0.007651
60	50	0.007822
60	60	0.007938
60	70	0.008141
60	80	0.008130
60	90	0.007937
60	100	0.007919
60	110	0.007946
60	120	0.007699
60	130	0.007705
60	140	0.007479
60	150	0.007357
60	160	0.007211
60	170	0.007179
60	180	0.006958
65	0	0.007456
65	10	0.007513
65	20	0.007411
65	30	0.007672
65	40	0.007737
65	50	0.007920
65	60	0.008033
65	70	0.008267
