bsdf_data
angles=deg bsdf=value scale=1
10	0
0	0	0.031984
0	10	0.031984
0	20	0.031984
0	30	0.031984
0	40	0.031984
0	50	0.031984
0	60	0.031984
0	70	0.031984
0	80	0.031984
0	90	0.031984
0	100	0.031984
0	110	0.031984
0	120	0.031984
0	130	0.031984
0	140	0.031984
0	150	0.031984
0	160	0.031984
0	170	0.031984
0	180	0.031984
0	190	0.031984
0	200	0.031984
0	210	0.031984
0	220	0.031984
0	230	0.031984
0	240	0.031984
0	250	0.031984
0	260	0.031984
0	270	0.031984
0	280	0.031984
0	290	0.031984
0	300	0.031984
0	310	0.031984
0	320	0.031984
0	330	0.031984
0	340	0.031984
0	350	0.031984
5	0	0.034271
5	10	0.033851
5	20	0.034014
5	30	0.033687
5	40	0.033372
5	50	0.032563
5	60	0.032104
5	70	0.031538
5	80	0.031192
5	90	0.030569
5	100	0.030253
5	110	0.030133
5	120	0.030437
5	130	0.030486
5	140	0.030712
5	220	0.030712
5	230	0.030486
5	240	0.030437
5	250	0.030133
5	260	0.030253
5	270	0.030569
5	280	0.031192
5	290	0.031538
5	300	0.032104
5	310	0.032563
5	320	0.033372
5	330	0.033687
5	340	0.034014
5	350	0.033851
10	0	0.034800
10	10	0.034610
10	20	0.033989
10	30	0.033636
10	40	0.032504
10	50	0.032166
10	60	0.031571
10	70	0.031061
10	80	0.029755
10	90	0.029301
10	100	0.028612
10	110	0.028221
10	120	0.027956
10	130	0.028138
10	140	0.028101
10	220	0.028101
10	230	0.028138
10	240	0.027956
10	250	0.028221
10	260	0.028612
10	270	0.029301
10	280	0.029755
10	290	0.031061
10	300	0.031571
10	310	0.032166
10	320	0.032504
10	330	0.033636
10	340	0.033989
10	350	0.034610
15	0	0.033233
15	10	0.033111
15	20	0.032565
15	30	0.032078
15	40	0.031446
15	50	0.030715
15	60	0.029712
15	70	0.028922
15	80	0.027850
15	90	0.027286
15	100	0.026323
15	110	0.025876
15	120	0.024818
15	130	0.024724
15	140	0.024700
15	220	0.024700
15	230	0.024724
15	240	0.024818
15	250	0.025876
15	260	0.026323
15	270	0.027286
15	280	0.027850
15	290	0.028922
15	300	0.029712
15	310	0.030715
15	320	0.031446
15	330	0.032078
15	340	0.032565
15	350	0.033111
20	0	0.030603
20	10	0.030315
20	20	0.030349
20	30	0.030451
20	40	0.029261
20	50	0.029028
20	60	0.027820
20	70	0.027007
20	80	0.026206
20	90	0.025157
20	100	0.023772
20	110	0.023237
20	120	0.022261
20	130	0.021644
20	140	0.021158
20	220	0.021158
20	230	0.021644
20	240	0.022261
20	250	0.023237
20	260	0.023772
20	270	0.025157
20	280	0.026206
20	290	0.027007
20	300	0.027820
20	310	0.029028
20	320	0.029261
20	330	0.030451
20	340	0.030349
20	350	0.030315
25	0	0.028327
25	10	0.028563
25	20	0.028183
25	30	0.027460
25	40	0.026991
25	50	0.026361
25	60	0.025684
25	70	0.024724
25	80	0.023697
25	90	0.022943
25	100	0.021403
25	110	0.020732
25	120	0.019705
25	130	0.018952
25	140	0.018414
25	150	0.018204
25	160	0.017629
25	170	0.017703
25	180	0.017673
25	190	0.017703
25	200	0.017629
25	210	0.018204
25	220	0.018414
25	230	0.018952
25	240	0.019705
25	250	0.020732
25	260	0.021403
25	270	0.022943
25	280	0.023697
25	290	0.024724
25	300	0.025684
25	310	0.026361
25	320	0.026991
25	330	0.027460
25	340	0.028183
25	350	0.028563
30	0	0.025606
30	10	0.025416
30	20	0.025340
30	30	0.024848
30	40	0.024764
30	50	0.024211
30	60	0.023600
30	70	0.022915
30	80	0.021758
30	90	0.020500
30	100	0.019599
30	110	0.018628
30	120	0.017556
30	130	0.016806
30	140	0.016431
30	150	0.015606
30	160	0.015788
30	170	0.015231
30	180	0.015264
30	190	0.015231
30	200	0.015788
30	210	0.015606
30	220	0.016431
30	230	0.016806
30	240	0.017556
30	250	0.018628
30	260	0.019599
30	270	0.020500
30	280	0.021758
30	290	0.022915
30	300	0.023600
30	310	0.024211
30	320	0.024764
30	330	0.024848
30	340	0.025340
30	350	0.025416
35	0	0.022478
35	10	0.022553
35	20	0.022450
35	30	0.022406
35	40	0.022007
35	50	0.021619
35	60	0.021202
35	70	0.020535
35	80	0.019716
35	90	0.018825
35	100	0.017345
35	110	0.016421
35	120	0.015568
35	130	0.014832
35	140	0.014260
35	150	0.013991
35	160	0.013317
35	170	0.013332
35	180	0.013313
35	190	0.013332
35	200	0.013317
35	210	0.013991
35	220	0.014260
35	230	0.014832
35	240	0.015568
35	250	0.016421
35	260	0.017345
35	270	0.018825
35	280	0.019716
35	290	0.020535
35	300	0.021202
35	310	0.021619
35	320	0.022007
35	330	0.022406
35	340	0.022450
35	350	0.022553
40	0	0.019939
40	10	0.019970
40	20	0.019602
40	30	0.019825
40	40	0.019677
40	50	0.019590
40	60	0.019120
40	70	0.018394
40	80	0.017945
40	90	0.016911
40	100	0.015583
40	110	0.014728
40	120	0.013824
40	130	0.013038
40	140	0.012498
40	150	0.012142
40	160	0.012007
40	170	0.011992
40	180	0.011558
40	190	0.011992
40	200	0.012007
40	210	0.012142
40	220	0.012498
40	230	0.013038
40	240	0.013824
40	250	0.014728
40	260	0.015583
40	270	0.016911
40	280	0.017945
40	290	0.018394
40	300	0.019120
40	310	0.019590
40	320	0.019677
40	330	0.019825
40	340	0.019602
40	350	0.019970
45	0	0.017461
45	10	0.017535
