bsdf_data
angles=deg bsdf=value scale=1
10	0
0	0	0.050967
0	10	0.050967
0	20	0.050967
0	30	0.050967
0	40	0.050967
0	50	0.050967
0	60	0.050967
0	70	0.050967
0	80	0.050967
0	90	0.050967
0	100	0.050967
0	110	0.050967
0	120	0.050967
0	130	0.050967
0	140	0.050967
0	150	0.050967
0	160	0.050967
0	170	0.050967
0	180	0.050967
0	190	0.050967
0	200	0.050967
0	210	0.050967
0	220	0.050967
0	230	0.050967
0	240	0.050967
0	250	0.050967
0	260	0.050967
0	270	0.050967
0	280	0.050967
0	290	0.050967
0	300	0.050967
0	310	0.050967
0	320	0.050967
0	330	0.050967
0	340	0.050967
0	350	0.050967
5	0	0.056993
5	10	0.056679
5	20	0.056044
5	30	0.055344
5	40	0.053804
5	50	0.052462
5	60	0.051993
5	70	0.051059
5	80	0.049861
5	90	0.048370
5	100	0.048038
5	110	0.047082
5	120	0.046603
5	130	0.046497
5	140	0.046782
5	220	0.046782
5	230	0.046497
5	240	0.046603
5	250	0.047082
5	260	0.048038
5	270	0.048370
5	280	0.049861
5	290	0.051059
5	300	0.051993
5	310	0.052462
5	320	0.053804
5	330	0.055344
5	340	0.056044
5	350	0.056679
10	0	0.058807
10	10	0.058941
10	20	0.058481
10	30	0.056513
10	40	0.054141
10	50	0.052850
10	60	0.050731
10	70	0.048836
10	80	0.047384
10	90	0.045266
10	100	0.043909
10	110	0.042199
10	120	0.041421
10	130	0.040785
10	140	0.041071
10	220	0.041071
10	230	0.040785
10	240	0.041421
10	250	0.042199
10	260	0.043909
10	270	0.045266
10	280	0.047384
10	290	0.048836
10	300	0.050731
10	310	0.052850
10	320	0.054141
10	330	0.056513
10	340	0.058481
10	350	0.058941
15	0	0.059478
15	10	0.059362
15	20	0.056482
15	30	0.054990
15	40	0.052166
15	50	0.050035
15	60	0.047927
15	70	0.044765
15	80	0.042353
15	90	0.040268
15	100	0.039173
15	110	0.037787
15	120	0.036042
15	130	0.035635
15	140	0.034634
15	220	0.034634
15	230	0.035635
15	240	0.036042
15	250	0.037787
