type bsdf_data
format angles=deg bsdf=value scale=1
10	0
0	0	0.052967
5	0	0.059702
5	10	0.059123
5	20	0.058913
5	30	0.057574
5	40	0.056567
5	50	0.055225
5	60	0.054063
5	70	0.052544
5	80	0.051292
5	90	0.050494
5	100	0.049896
5	110	0.049366
5	120	0.049313
5	130	0.049101
5	140	0.049226
10	0	0.060094
10	10	0.060282
10	20	0.059660
10	30	0.058500
10	40	0.056828
10	50	0.054406
10	60	0.052664
10	70	0.051524
10	80	0.049587
10	90	0.047738
10	100	0.046758
10	110	0.045748
10	120	0.044648
10	130	0.043688
10	140	0.043327
15	0	0.058978
15	10	0.059466
15	20	0.058453
15	30	0.056631
15	40	0.054851
15	50	0.052995
15	60	0.050228
15	70	0.048219
15	80	0.045697
15	90	0.043228
15	100	0.041528
15	110	0.040362
15	120	0.039029
15	130	0.038161
15	140	0.037467
20	0	0.056762
20	10	0.056457
20	20	0.054956
20	30	0.053279
20	40	0.050830
20	50	0.048785
20	60	0.046221
20	70	0.043106
20	80	0.040893
20	90	0.038636
20	100	0.036641
20	110	0.034994
20	120	0.033611
20	130	0.032763
20	140	0.031634
25	0	0.052189
25	10	0.051904
25	20	0.050465
25	30	0.048811
25	40	0.046340
25	50	0.043731
25	60	0.041316
25	70	0.038617
25	80	0.035851
25	90	0.034009
25	100	0.031972
25	110	0.030071
25	120	0.028523
25	130	0.027313
25	140	0.026308
25	150	0.025605
25	160	0.025125
25	170	0.025157
25	180	0.024589
30	0	0.046945
30	10	0.046069
30	20	0.045368
30	30	0.043235
30	40	0.040865
30	50	0.038995
30	60	0.036032
30	70	0.033589
30	80	0.030889
30	90	0.028821
30	100	0.026799
30	110	0.025094
30	120	0.023973
30	130	0.022598
30	140	0.021647
30	150	0.020792
30	160	0.020827
30	170	0.020294
30	180	0.020290
35	0	0.040375
35	10	0.040302
35	20	0.039247
35	30	0.037680
35	40	0.035436
35	50	0.033390
35	60	0.030959
35	70	0.028730
35	80	0.026668
35	90	0.024378
35	100	0.022516
35	110	0.021022
35	120	0.019871
35	130	0.018527
35	140	0.017793
35	150	0.017206
35	160	0.016707
35	170	0.016302
35	180	0.016373
40	0	0.035074
40	10	0.034593
40	20	0.033955
40	30	0.032411
40	40	0.030712
40	50	0.028735
40	60	0.026824
40	70	0.024498
40	80	0.022512
40	90	0.020522
40	100	0.019049
40	110	0.017418
40	120	0.016106
40	130	0.015216
40	140	0.014516
40	150	0.013821
40	160	0.013665
40	170	0.013339
40	180	0.013251
45	0	0.029679
45	10	0.029708
45	20	0.028790
45	30	0.028024
45	40	0.026330
45	50	0.024494
45	60	0.023018
45	70	0.020710
45	80	0.018873
45	90	0.017145
45	100	0.015689
45	110	0.014457
45	120	0.013450
45	130	0.012592
45	140	0.011882
45	150	0.011462
45	160	0.010972
45	170	0.010807
45	180	0.010803
50	0	0.025442
50	10	0.025247
50	20	0.024649
50	30	0.023691
50	40	0.022340
50	50	0.020865
50	60	0.019320
50	70	0.017547
50	80	0.016060
50	90	0.014476
50	100	0.013194
50	110	0.011913
50	120	0.011026
50	130	0.010277
50	140	0.009686
50	150	0.009347
50	160	0.009037
50	170	0.008934
50	180	0.008915
55	0	0.021612
55	10	0.021310
55	20	0.020968
55	30	0.020241
55	40	0.019032
55	50	0.017522
55	60	0.016326
55	70	0.014800
55	80	0.013378
55	90	0.012128
55	100	0.010970
55	110	0.010108
55	120	0.009203
55	130	0.008634
55	140	0.007922
55	150	0.007640
55	160	0.007487
55	170	0.007189
55	180	0.007192
60	0	0.018460
60	10	0.018333
60	20	0.017758
60	30	0.017241
60	40	0.016151
60	50	0.015031
60	60	0.013742
60	70	0.012544
60	80	0.011454
60	90	0.010241
60	100	0.009052
60	110	0.008376
60	120	0.007795
60	130	0.007063
60	140	0.006840
60	150	0.006460
60	160	0.006026
60	170	0.005925
60	180	0.005867
65	0	0.015558
65	10	0.015477
65	20	0.014945
65	30	0.014613
65	40	0.013843
65	50	0.012746
65	60	0.011816
65	70	0.010613
65	80	0.009584
65	90	0.008873
65	100	0.007998
65	110	0.007040
65	120	0.006341
65	130	0.005931
65	140	0.005485
65	150	0.005459
65	160	0.005109
65	170	0.004990
65	180	0.004477
70	0	0.013216
70	10	0.013086
70	20	0.013063
70	30	0.012897
70	40	0.012013
70	50	0.010868
70	60	0.010133
70	70	0.009317
70	80	0.008495
70	90	0.007688
70	100	0.006728
70	110	0.006263
70	120	0.005616
70	130	0.005343
70	140	0.004991
70	150	0.004495
70	160	0.004424
70	170	0.004323
70	180	0.004087
75	0	0.011113
75	10	0.010543
75	20	0.010750
75	30	0.010225
75	40	0.009600
75	50	0.009475
75	60	0.008530
75	70	0.007411
75	80	0.007108
75	90	0.006118
75	100	0.005820
75	110	0.005124
75	120	0.004869
75	130	0.004191
75	140	0.004117
75	150	0.004027
75	160	0.003601
75	170	0.003430
75	180	0.003230
80	0	0.009558
80	10	0.008911
80	20	0.008791
80	30	0.008482
80	40	0.008590
80	50	0.007174
80	60	0.006794
80	70	0.006587
80	80	0.005969
80	90	0.005154
80	100	0.005035
80	110	0.004485
80	120	0.003886
80	130	0.003901
80	140	0.003904
80	150	0.003448
80	160	0.003744
80	170	0.003518
80	180	0.003702
30	0
0	0	0.031031
5	0	0.039321
5	10	0.038890
5	20	0.038193
5	30	0.037250
5	40	0.036230
5	50	0.034881
5	60	0.033237
5	70	0.031721
5	80	0.030527
5	90	0.029426
5	100	0.028398
5	110	0.027672
5	120	0.027118
