type bsdf_data
format angles=deg bsdf=value scale=1
10	150
0	0	0.042200
5	10	0.003897
5	20	0.002312
5	30	0.002059
5	40	0.002251
5	50	0.002604
5	60	0.004987
5	70	0.226372
5	80	0.693562
5	90	0.213600
5	100	0.004632
5	110	0.004563
5	120	0.006400
5	130	0.006269
5	140	0.003611
5	150	0.001657
5	160	0.001567
5	170	0.002731
5	180	0.005198
5	190	0.004008
5	200	0.001848
5	210	0.001463
5	220	0.001507
5	230	0.001663
5	240	0.001634
5	250	0.001500
5	260	0.001815
5	270	0.040347
5	280	0.079314
5	290	0.005712
10	10	0.002162
10	20	0.001552
10	30	0.001471
10	40	0.001315
10	50	0.001334
10	60	0.001521
10	70	0.001453
10	80	0.032451
10	90	0.026189
10	100	0.002766
10	110	0.060953
10	120	0.009936
10	130	0.001652
10	140	0.001635
10	150	0.137590
10	160	0.002877
10	170	0.001653
10	180	0.007283
10	190	0.002008
10	200	0.004598
10	210	0.674196
10	220	0.006898
10	230	0.002809
10	240	0.001464
10	250	0.002780
10	260	0.001513
10	270	0.028034
10	280	0.004971
10	290	0.002147
15	10	0.001324
15	20	0.001289
15	30	0.001219
15	40	0.009380
15	50	0.001326
15	60	0.001336
15	70	0.003115
15	80	0.004196
15	90	0.064357
15	100	0.002100
15	110	0.007963
15	120	0.002808
15	130	0.001967
15	140	0.002356
15	150	0.001218
15	160	0.041711
15	170	0.002185
15	180	0.009904
15	190	0.001681
15	200	0.135401
15	210	0.001674
15	220	0.001509
15	230	0.001292
15	240	0.001743
15	250	0.001384
15	260	0.001546
15	270	0.290561
15	280	0.003035
15	290	0.001249
20	10	0.001146
20	20	0.001018
20	30	0.005021
20	40	0.001120
20	50	0.004199
20	60	0.001353
20	70	0.002495
20	80	0.001168
20	90	0.010468
20	100	0.003666
20	110	0.000927
20	120	0.001873
20	130	0.001348
20	140	0.001348
20	150	0.000801
20	160	0.003052
20	170	0.002940
20	180	0.005481
20	190	0.004031
20	200	0.003022
20	210	0.001595
20	220	0.001318
20	230	0.001477
20	240	0.001999
20	250	0.001324
20	260	0.002967
20	270	0.007401
20	280	0.001043
