type bsdf_data
format angles=deg bsdf=value scale=1
10	0
0	0	0.000001
5	0	0.000158
5	10	0.000158
5	20	0.000081
5	30	0.000061
5	40	0.000015
5	50	0.000018
5	60	0.000000
5	70	0.000000
5	80	0.000000
5	90	0.000000
5	100	0.000000
5	110	0.000000
5	120	0.000000
5	130	0.000000
5	140	0.000000
10	0	0.000059
10	10	0.000120
10	20	0.000087
10	30	0.000063
10	40	0.000103
10	50	0.000075
10	60	0.000181
10	70	0.000246
10	80	0.000160
10	90	0.000000
10	100	0.000013
10	110	0.000000
10	120	0.000000
10	130	0.000000
10	140	0.000000
15	0	0.000000
15	10	0.000000
15	20	0.000007
15	30	0.000022
15	40	0.000172
15	50	0.000321
15	60	0.000168
15	70	0.000046
15	80	0.000000
15	90	0.000000
15	100	0.000000
15	110	0.000000
15	120	0.000000
15	130	0.000000
15	140	0.000000
20	0	0.000000
20	10	0.000000
20	20	0.000000
20	30	0.000000
20	40	0.000000
20	50	0.000000
20	60	0.000010
20	70	0.000000
20	80	0.000000
20	90	0.000000
20	100	0.000000
20	110	0.000000
20	120	0.000000
20	130	0.000000
20	140	0.000000
25	0	0.000000
25	10	0.000000
25	20	0.000000
25	30	0.000000
25	40	0.000000
25	50	0.000000
25	60	0.000000
25	70	0.000000
25	80	0.000000
25	90	0.000000
25	100	0.000000
25	110	0.000000
25	120	0.000000
25	130	0.000000
25	140	0.000000
25	150	0.000000
25	160	0.000000
25	170	0.000000
25	180	0.000000
30	0	0.000000
30	10	0.000000
30	20	0.000000
30	30	0.000000
30	40	0.000000
30	50	0.000000
30	60	0.000000
30	70	0.000000
30	80	0.000000
30	90	0.000000
30	100	0.000000
30	110	0.000000
30	120	0.000000
30	130	0.000000
30	140	0.000000
30	150	0.000000
30	160	0.000000
30	170	0.000000
30	180	0.000000
35	0	0.000000
35	10	0.000000
35	20	0.000000
35	30	0.000000
35	40	0.000000
35	50	0.000000
35	60	0.000000
35	70	0.000000
35	80	0.000000
35	90	0.000000
35	100	0.000000
35	110	0.000000
35	120	0.000000
35	130	0.000000
35	140	0.000000
35	150	0.000000
35	160	0.000000
35	170	0.000000
35	180	0.000000
40	0	0.000000
40	10	0.000000
40	20	0.000000
40	30	0.000000
40	40	0.000000
40	50	0.000000
40	60	0.000000
40	70	0.000000
40	80	0.000000
40	90	0.000000
40	100	0.000000
40	110	0.000000
40	120	0.000000
40	130	0.000000
40	140	0.000000
40	150	0.000000
40	160	0.000000
40	170	0.000000
40	180	0.000000
45	0	0.000000
45	10	0.000000
45	20	0.000000
45	30	0.000000
45	40	0.000000
45	50	0.000000
45	60	0.000000
45	70	0.000000
45	80	0.000000
45	90	0.000000
45	100	0.000000
45	110	0.000000
45	120	0.000000
45	130	0.000000
45	140	0.000000
45	150	0.000000
45	160	0.000000
45	170	0.000000
45	180	0.000000
50	0	0.000000
50	10	0.000000
50	20	0.000000
50	30	0.000000
50	40	0.000000
50	50	0.000000
50	60	0.000000
50	70	0.000000
50	80	0.000000
50	90	0.000000
50	100	0.000000
50	110	0.000000
50	120	0.000000
50	130	0.000000
50	140	0.000000
50	150	0.000000
50	160	0.000000
50	170	0.000000
50	180	0.000000
55	0	0.000000
55	10	0.000000
55	20	0.000000
55	30	0.000000
55	40	0.000000
55	50	0.000000
55	60	0.000000
55	70	0.000000
55	80	0.000000
55	90	0.000000
55	100	0.000000
55	110	0.000000
55	120	0.000000
55	130	0.000000
55	140	0.000000
55	150	0.000000
55	160	0.000000
55	170	0.000000
55	180	0.000000
60	0	0.000000
60	10	0.000000
60	20	0.000000
60	30	0.000000
60	40	0.000000
60	50	0.000000
60	60	0.000000
60	70	0.000000
60	80	0.000000
60	90	0.000000
60	100	0.000000
60	110	0.000000
60	120	0.000000
60	130	0.000000
60	140	0.000000
60	150	0.000000
60	160	0.000000
60	170	0.000000
60	180	0.000000
65	0	0.000000
65	10	0.000000
65	20	0.000000
65	30	0.000000
65	40	0.000000
65	50	0.000000
65	60	0.000000
65	70	0.000000
65	80	0.000000
65	90	0.000000
65	100	0.000000
65	110	0.000000
65	120	0.000000
65	130	0.000000
65	140	0.000000
65	150	0.000000
65	160	0.000000
65	170	0.000000
65	180	0.000000
70	0	0.000000
70	10	0.000000
70	20	0.000000
70	30	0.000000
70	40	0.000000
70	50	0.000000
70	60	0.000000
70	70	0.000000
70	80	0.000000
70	90	0.000000
70	100	0.000000
70	110	0.000000
70	120	0.000000
70	130	0.000000
70	140	0.000000
70	150	0.000000
70	160	0.000000
70	170	0.000000
70	180	0.000000
75	0	0.000000
75	10	0.000000
75	20	0.000000
75	30	0.000000
75	40	0.000000
75	50	0.000000
75	60	0.000000
75	70	0.000000
75	80	0.000000
75	90	0.000000
75	100	0.000000
75	110	0.000000
75	120	0.000000
75	130	0.000000
75	140	0.000000
75	150	0.000000
75	160	0.000000
75	170	0.000000
75	180	0.000000
80	0	0.000000
80	10	0.000000
80	20	0.000000
80	30	0.000000
80	40	0.000000
80	50	0.000000
80	60	0.000000
80	70	0.000000
80	80	0.000000
80	90	0.000000
80	100	0.000000
80	110	0.000000
80	120	0.000000
80	130	0.000000
80	140	0.000000
80	150	0.000000
80	160	0.000000
80	170	0.000000
80	180	0.000000
30	0
0	0	0.000000
5	0	0.000000
5	10	0.000000
5	20	0.000000
5	30	0.000000
5	40	0.000000
5	50	0.000000
5	60	0.000000
5	70	0.000000
5	80	0.000000
5	90	0.000000
5	100	0.000000
5	110	0.000000
5	120	0.000000
5	130	0.000000
5	140	0.000000
5	150	0.000000
5	160	0.000000
5	170	0.000000
5	180	0.000000
10	0	0.000000
10	10	0.000000
10	20	0.000000
10	30	0.000000
10	40	0.000000
10	50	0.000000
10	60	0.000000
10	70	0.000000
10	80	0.000000
10	90	0.000000
10	100	0.000000
10	110	0.000000
10	120	0.000000
10	130	0.000000
10	140	0.000000
10	150	0.000000
10	160	0.000000
10	170	0.000000
10	180	0.000000
15	0	0.000042
15	10	0.000010
15	20	0.000003
15	30	0.000000
15	40	0.000000
15	50	0.000000
15	60	0.000000
15	70	0.000000
15	80	0.000000
15	90	0.000000
15	100	0.000000
15	110	0.000000
15	120	0.000000
15	130	0.000000
15	140	0.000000
15	150	0.000000
15	160	0.000000
15	170	0.000000
15	180	0.000000
20	0	0.000000
20	10	0.000000
20	20	0.000208
20	30	0.000156
20	40	0.000062
20	50	0.000000
20	60	0.000000
20	70	0.000000
20	80	0.000000
20	90	0.000000
20	100	0.000000
20	110	0.000000
20	120	0.000000
20	130	0.000000
20	140	0.000000
25	0	0.000622
25	10	0.000557
25	20	0.000434
25	30	0.000383
25	40	0.000279
25	50	0.000049
25	60	0.000000
25	70	0.000000
25	80	0.000000
25	90	0.000000
25	100	0.000000
25	110	0.000000
25	120	0.000000
25	130	0.000000
25	140	0.000000
30	0	0.000360
30	10	0.000408
30	20	0.000632
30	30	0.000371
30	40	0.000225
30	50	0.000033
30	60	0.000000
30	70	0.000000
30	80	0.000000
30	90	0.000000
30	100	0.000000
30	110	0.000000
30	120	0.000000
30	130	0.000000
30	140	0.000000
35	0	0.000291
35	10	0.000264
35	20	0.001018
35	30	0.000455
35	40	0.000276
35	50	0.000068
35	60	0.000000
35	70	0.000000
35	80	0.000000
35	90	0.000000
35	100	0.000000
35	110	0.000000
35	120	0.000000
35	130	0.000000
35	140	0.000000
40	0	0.000000
40	10	0.000322
40	20	0.000352
40	30	0.000451
40	40	0.000337
40	50	0.000127
40	60	0.000000
40	70	0.000000
40	80	0.000000
40	90	0.000000
40	100	0.000000
40	110	0.000000
40	120	0.000000
40	130	0.000000
40	140	0.000000
45	0	0.000000
