type bsdf_data
format angles=deg bsdf=value scale=1
0	0
0	0	0.051717
5	0	0.049843
5	10	0.049843
5	20	0.049843
5	30	0.049843
5	40	0.049843
5	50	0.049843
5	60	0.049843
5	70	0.049843
5	80	0.049843
5	90	0.049843
5	100	0.049843
5	110	0.049843
5	120	0.049843
5	130	0.049843
5	140	0.049843
5	150	0.049843
5	160	0.049843
5	170	0.049843
5	180	0.049843
10	0	0.044873
10	10	0.044873
10	20	0.044873
10	30	0.044873
10	40	0.044873
10	50	0.044873
10	60	0.044873
10	70	0.044873
10	80	0.044873
10	90	0.044873
10	100	0.044873
10	110	0.044873
10	120	0.044873
10	130	0.044873
10	140	0.044873
10	150	0.044873
10	160	0.044873
10	170	0.044873
10	180	0.044873
15	0	0.038343
15	10	0.038343
15	20	0.038343
15	30	0.038343
15	40	0.038343
15	50	0.038343
15	60	0.038343
15	70	0.038343
15	80	0.038343
15	90	0.038343
15	100	0.038343
15	110	0.038343
15	120	0.038343
15	130	0.038343
15	140	0.038343
15	150	0.038343
15	160	0.038343
15	170	0.038343
15	180	0.038343
20	0	0.031810
20	10	0.031810
20	20	0.031810
20	30	0.031810
20	40	0.031810
20	50	0.031810
20	60	0.031810
20	70	0.031810
20	80	0.031810
20	90	0.031810
20	100	0.031810
20	110	0.031810
20	120	0.031810
20	130	0.031810
20	140	0.031810
20	150	0.031810
20	160	0.031810
20	170	0.031810
20	180	0.031810
25	0	0.026261
25	10	0.026261
25	20	0.026261
25	30	0.026261
25	40	0.026261
25	50	0.026261
25	60	0.026261
25	70	0.026261
25	80	0.026261
25	90	0.026261
25	100	0.026261
25	110	0.026261
25	120	0.026261
25	130	0.026261
25	140	0.026261
25	150	0.026261
25	160	0.026261
25	170	0.026261
25	180	0.026261
30	0	0.022049
30	10	0.022049
30	20	0.022049
30	30	0.022049
30	40	0.022049
30	50	0.022049
30	60	0.022049
30	70	0.022049
30	80	0.022049
30	90	0.022049
30	100	0.022049
30	110	0.022049
30	120	0.022049
30	130	0.022049
30	140	0.022049
30	150	0.022049
30	160	0.022049
30	170	0.022049
30	180	0.022049
35	0	0.019108
35	10	0.019108
35	20	0.019108
35	30	0.019108
35	40	0.019108
35	50	0.019108
35	60	0.019108
35	70	0.019108
35	80	0.019108
35	90	0.019108
35	100	0.019108
35	110	0.019108
35	120	0.019108
35	130	0.019108
35	140	0.019108
35	150	0.019108
35	160	0.019108
35	170	0.019108
35	180	0.019108
40	0	0.017191
40	10	0.017191
40	20	0.017191
40	30	0.017191
40	40	0.017191
40	50	0.017191
40	60	0.017191
40	70	0.017191
40	80	0.017191
40	90	0.017191
40	100	0.017191
40	110	0.017191
40	120	0.017191
40	130	0.017191
40	140	0.017191
40	150	0.017191
40	160	0.017191
40	170	0.017191
40	180	0.017191
45	0	0.016006
45	10	0.016006
45	20	0.016006
45	30	0.016006
45	40	0.016006
45	50	0.016006
45	60	0.016006
45	70	0.016006
45	80	0.016006
45	90	0.016006
45	100	0.016006
45	110	0.016006
45	120	0.016006
45	130	0.016006
45	140	0.016006
45	150	0.016006
45	160	0.016006
45	170	0.016006
45	180	0.016006
50	0	0.015275
50	10	0.015275
50	20	0.015275
50	30	0.015275
50	40	0.015275
50	50	0.015275
50	60	0.015275
50	70	0.015275
50	80	0.015275
50	90	0.015275
50	100	0.015275
50	110	0.015275
50	120	0.015275
50	130	0.015275
50	140	0.015275
50	150	0.015275
50	160	0.015275
50	170	0.015275
50	180	0.015275
55	0	0.014753
55	10	0.014753
55	20	0.014753
