type bsdf_data
format angles=deg bsdf=value scale=1
10	0
0	0	0.059831
5	0	0.067967
5	10	0.067798
5	20	0.067300
5	30	0.066497
5	40	0.065428
5	50	0.064143
5	60	0.062696
5	70	0.061146
5	80	0.059551
5	90	0.057965
5	100	0.056435
5	110	0.055003
5	120	0.053703
5	130	0.052563
5	140	0.051605
5	150	0.050845
5	160	0.050295
5	170	0.049961
5	180	0.049850
10	0	0.071721
10	10	0.071370
10	20	0.070342
10	30	0.068709
10	40	0.066576
10	50	0.064073
10	60	0.061337
10	70	0.058499
10	80	0.055673
10	90	0.052955
10	100	0.050419
10	110	0.048118
10	120	0.046088
10	130	0.044353
10	140	0.042925
10	150	0.041812
10	160	0.041017
10	170	0.040540
10	180	0.040380
15	0	0.069916
15	10	0.069430
15	20	0.068017
15	30	0.065801
15	40	0.062961
15	50	0.059706
15	60	0.056241
15	70	0.052748
15	80	0.049372
15	90	0.046217
15	100	0.043353
15	110	0.040819
15	120	0.038632
15	130	0.036797
15	140	0.035309
15	150	0.034163
15	160	0.033350
15	170	0.032865
15	180	0.032704
20	0	0.063560
20	10	0.063021
20	20	0.061464
20	30	0.059048
20	40	0.056006
20	50	0.052591
20	60	0.049041
20	70	0.045550
20	80	0.042261
20	90	0.039260
20	100	0.036594
20	110	0.034279
20	120	0.032311
20	130	0.030679
20	140	0.029367
20	150	0.028362
20	160	0.027651
20	170	0.027228
20	180	0.027087
25	0	0.055086
25	10	0.054566
25	20	0.053068
25	30	0.050771
25	40	0.047920
25	50	0.044778
25	60	0.041578
25	70	0.038501
25	80	0.035664
25	90	0.033129
25	100	0.030917
25	110	0.029025
25	120	0.027434
25	130	0.026122
25	140	0.025072
25	150	0.024267
25	160	0.023697
25	170	0.023357
25	180	0.023244
30	0	0.046843
30	10	0.046377
30	20	0.045043
30	30	0.043014
30	40	0.040527
30	50	0.037829
30	60	0.035132
30	70	0.032589
30	80	0.030292
30	90	0.028280
30	100	0.026556
30	110	0.025102
30	120	0.023892
30	130	0.022899
30	140	0.022105
30	150	0.021494
30	160	0.021060
30	170	0.020800
30	180	0.020714
35	0	0.040199
35	10	0.039792
35	20	0.038631
35	30	0.036878
35	40	0.034751
35	50	0.032473
35	60	0.030231
35	70	0.028155
35	80	0.026315
35	90	0.024736
35	100	0.023409
35	110	0.022310
35	120	0.021406
35	130	0.020671
35	140	0.020083
35	150	0.019630
35	160	0.019307
35	170	0.019112
35	180	0.019047
40	0	0.035543
40	10	0.035183
40	20	0.034157
40	30	0.032615
40	40	0.030756
40	50	0.028784
40	60	0.026864
40	70	0.025111
40	80	0.023582
40	90	0.022293
40	100	0.021232
40	110	0.020368
40	120	0.019670
40	130	0.019108
40	140	0.018662
40	150	0.018317
40	160	0.018070
40	170	0.017921
40	180	0.017871
45	0	0.032681
45	10	0.032349
45	20	0.031406
45	30	0.029990
45	40	0.028290
45	50	0.026492
45	60	0.024752
45	70	0.023173
45	80	0.021808
45	90	0.020670
45	100	0.019744
45	110	0.019002
45	120	0.018410
45	130	0.017939
45	140	0.017568
45	150	0.017283
45	160	0.017079
45	170	0.016956
45	180	0.016915
50	0	0.031167
50	10	0.030847
50	20	0.029938
50	30	0.028573
50	40	0.026933
50	50	0.025199
50	60	0.023519
50	70	0.021995
50	80	0.020678
50	90	0.019581
50	100	0.018690
50	110	0.017977
50	120	0.017412
50	130	0.016966
50	140	0.016618
50	150	0.016352
50	160	0.016164
50	170	0.016050
50	180	0.016012
55	0	0.030480
55	10	0.030160
55	20	0.029247
55	30	0.027876
55	40	0.026226
55	50	0.024478
55	60	0.022781
55	70	0.021235
55	80	0.019894
55	90	0.018771
55	100	0.017854
55	110	0.017119
55	120	0.016536
55	130	0.016075
55	140	0.015717
55	150	0.015446
55	160	0.015255
55	170	0.015141
55	180	0.015102
60	0	0.030117
60	10	0.029787
60	20	0.028849
60	30	0.027439
60	40	0.025741
60	50	0.023943
60	60	0.022194
60	70	0.020600
60	80	0.019212
60	90	0.018046
60	100	0.017091
60	110	0.016321
60	120	0.015708
60	130	0.015223
60	140	0.014845
60	150	0.014560
60	160	0.014360
60	170	0.014240
60	180	0.014200
65	0	0.029684
65	10	0.029342
65	20	0.028370
65	30	0.026912
65	40	0.025163
65	50	0.023315
65	60	0.021525
65	70	0.019898
65	80	0.018485
65	90	0.017299
65	100	0.016328
65	110	0.015544
65	120	0.014917
65	130	0.014419
65	140	0.014030
65	150	0.013734
65	160	0.013526
65	170	0.013401
65	180	0.013359
70	0	0.028990
70	10	0.028637
70	20	0.027635
70	30	0.026141
70	40	0.024358
70	50	0.022489
70	60	0.020693
70	70	0.019073
70	80	0.017678
70	90	0.016515
70	100	0.015567
70	110	0.014802
70	120	0.014189
70	130	0.013699
70	140	0.013312
70	150	0.013015
70	160	0.012804
70	170	0.012676
70	180	0.012634
75	0	0.028076
75	10	0.027716
