type bsdf_data
format angles=deg bsdf=value scale=1
angles measured from local surface normal
AOI	0	deg.
FRED TIS integral (0-1)	6.22020540825502E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=0) [1/sr]
0	0	0	0	5.17171102709215E-02
0	0	5	0	4.98427365665022E-02
0	0	10	0	4.48730745721279E-02
0	0	15	0	3.83434111521795E-02
0	0	20	0	3.18098153881477E-02
0	0	25	0	2.62611790898878E-02
0	0	30	0	2.20489496959823E-02
0	0	35	0	1.91078823302895E-02
0	0	40	0	1.71907792806719E-02
0	0	45	0	1.60063846925366E-02
0	0	50	0	1.52753213411566E-02
0	0	55	0	1.47530260493109E-02
0	0	60	0	1.42529896291088E-02
0	0	65	0	1.36734869769753E-02
0	0	70	0	1.30091179148375E-02
0	0	75	0	1.23315559943984E-02
0	0	80	0	1.17468928408594E-02
0	0	85	0	1.13531062774553E-02
0	0	89.9	0	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=10) [1/sr]
0	0	0	10	5.17171102709215E-02
0	0	5	10	4.98427365665022E-02
0	0	10	10	4.48730745721279E-02
0	0	15	10	3.83434111521795E-02
0	0	20	10	3.18098153881477E-02
0	0	25	10	2.62611790898878E-02
0	0	30	10	2.20489496959823E-02
0	0	35	10	1.91078823302896E-02
0	0	40	10	1.71907792806719E-02
0	0	45	10	1.60063846925366E-02
0	0	50	10	1.52753213411566E-02
0	0	55	10	1.47530260493109E-02
0	0	60	10	1.42529896291088E-02
0	0	65	10	1.36734869769753E-02
0	0	70	10	1.30091179148375E-02
0	0	75	10	1.23315559943984E-02
0	0	80	10	1.17468928408594E-02
0	0	85	10	1.13531062774554E-02
0	0	89.9	10	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=20) [1/sr]
0	0	0	20	5.17171102709215E-02
0	0	5	20	4.98427365665022E-02
0	0	10	20	4.48730745721279E-02
0	0	15	20	3.83434111521795E-02
0	0	20	20	3.18098153881477E-02
0	0	25	20	2.62611790898878E-02
0	0	30	20	2.20489496959823E-02
0	0	35	20	1.91078823302896E-02
0	0	40	20	1.71907792806719E-02
0	0	45	20	1.60063846925366E-02
0	0	50	20	1.52753213411566E-02
0	0	55	20	0.014753026049311
0	0	60	20	1.42529896291088E-02
0	0	65	20	1.36734869769753E-02
0	0	70	20	1.30091179148375E-02
0	0	75	20	1.23315559943984E-02
0	0	80	20	1.17468928408594E-02
0	0	85	20	1.13531062774554E-02
0	0	89.9	20	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=30) [1/sr]
0	0	0	30	5.17171102709215E-02
0	0	5	30	4.98427365665022E-02
0	0	10	30	4.48730745721279E-02
0	0	15	30	3.83434111521795E-02
0	0	20	30	3.18098153881477E-02
0	0	25	30	2.62611790898878E-02
0	0	30	30	2.20489496959823E-02
0	0	35	30	1.91078823302896E-02
0	0	40	30	1.71907792806719E-02
0	0	45	30	1.60063846925366E-02
0	0	50	30	1.52753213411566E-02
0	0	55	30	1.47530260493109E-02
0	0	60	30	1.42529896291088E-02
0	0	65	30	1.36734869769753E-02
0	0	70	30	1.30091179148375E-02
0	0	75	30	1.23315559943984E-02
0	0	80	30	1.17468928408594E-02
0	0	85	30	1.13531062774553E-02
0	0	89.9	30	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=40) [1/sr]
0	0	0	40	5.17171102709215E-02
0	0	5	40	4.98427365665022E-02
0	0	10	40	4.48730745721279E-02
0	0	15	40	3.83434111521795E-02
0	0	20	40	3.18098153881477E-02
0	0	25	40	2.62611790898878E-02
0	0	30	40	2.20489496959823E-02
0	0	35	40	1.91078823302896E-02
0	0	40	40	1.71907792806719E-02
0	0	45	40	1.60063846925366E-02
0	0	50	40	1.52753213411566E-02
0	0	55	40	1.47530260493109E-02
0	0	60	40	1.42529896291088E-02
0	0	65	40	1.36734869769753E-02
0	0	70	40	1.30091179148375E-02
0	0	75	40	1.23315559943984E-02
0	0	80	40	1.17468928408594E-02
0	0	85	40	1.13531062774553E-02
0	0	89.9	40	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=50) [1/sr]
0	0	0	50	5.17171102709215E-02
0	0	5	50	4.98427365665022E-02
0	0	10	50	4.48730745721279E-02
0	0	15	50	3.83434111521795E-02
0	0	20	50	3.18098153881477E-02
0	0	25	50	2.62611790898878E-02
0	0	30	50	2.20489496959823E-02
0	0	35	50	1.91078823302896E-02
0	0	40	50	1.71907792806719E-02
0	0	45	50	1.60063846925366E-02
0	0	50	50	1.52753213411566E-02
0	0	55	50	0.014753026049311
0	0	60	50	1.42529896291088E-02
0	0	65	50	1.36734869769753E-02
0	0	70	50	1.30091179148375E-02
0	0	75	50	1.23315559943983E-02
0	0	80	50	1.17468928408594E-02
0	0	85	50	1.13531062774553E-02
0	0	89.9	50	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=60) [1/sr]
0	0	0	60	5.17171102709215E-02
0	0	5	60	4.98427365665022E-02
0	0	10	60	4.48730745721279E-02
0	0	15	60	3.83434111521795E-02
0	0	20	60	3.18098153881477E-02
