%	2026/06/05 - Black paint angles for Lazuli Space Observatory (v1.0);
%	includes 0/45 calibration measurements; contact: Jacob P. Krell (LOFT group, jacobpkrell@arizona.edu);
%
%Measurement #	Source_zenith	Source_azimuth	View_zenith	View_azimuth
1	0	0	45	0
2	10	0	-85	0
3	10	0	-80	0
4	10	0	-75	0
5	10	0	-70	0
6	10	0	-65	0
7	10	0	-60	0
8	10	0	-55	0
9	10	0	-50	0
10	10	0	-45	0
11	10	0	-40	0
12	10	0	-35	0
13	10	0	-30	0
14	10	0	-25	0
15	10	0	-20	0
16	10	0	-15	0
17	10	0	-10	0
18	10	0	-5	0
19	10	0	0	0
20	10	0	5	0
21	10	0	10	0
22	10	0	15	0
23	10	0	20	0
24	10	0	25	0
25	10	0	30	0
26	10	0	35	0
27	10	0	40	0
28	10	0	45	0
29	10	0	50	0
30	10	0	55	0
31	10	0	60	0
32	10	0	65	0
33	10	0	70	0
34	10	0	75	0
35	10	0	80	0
36	10	0	85	0
37	30	0	-85	0
38	30	0	-80	0
39	30	0	-75	0
40	30	0	-70	0
41	30	0	-65	0
42	30	0	-60	0
43	30	0	-55	0
44	30	0	-50	0
45	30	0	-45	0
46	30	0	-40	0
47	30	0	-35	0
48	30	0	-30	0
49	30	0	-25	0
50	30	0	-20	0
51	30	0	-15	0
52	30	0	-10	0
53	30	0	-5	0
54	30	0	0	0
55	30	0	5	0
56	30	0	10	0
57	30	0	15	0
58	30	0	20	0
59	30	0	25	0
60	30	0	30	0
61	30	0	35	0
62	30	0	40	0
63	30	0	45	0
64	30	0	50	0
65	30	0	55	0
66	30	0	60	0
67	30	0	65	0
68	30	0	70	0
69	30	0	75	0
70	30	0	80	0
71	30	0	85	0
72	50	0	-85	0
73	50	0	-80	0
74	50	0	-75	0
75	50	0	-70	0
76	50	0	-65	0
77	50	0	-60	0
78	50	0	-55	0
79	50	0	-50	0
80	50	0	-45	0
81	50	0	-40	0
82	50	0	-35	0
83	50	0	-30	0
84	50	0	-25	0
85	50	0	-20	0
86	50	0	-15	0
87	50	0	-10	0
88	50	0	-5	0
89	50	0	0	0
90	50	0	5	0
91	50	0	10	0
92	50	0	15	0
93	50	0	20	0
94	50	0	25	0
95	50	0	30	0
96	50	0	35	0
97	50	0	40	0
98	50	0	45	0
99	50	0	50	0
100	50	0	55	0
101	50	0	60	0
102	50	0	65	0
103	50	0	70	0
104	50	0	75	0
105	50	0	80	0
106	50	0	85	0
107	70	0	-85	0
108	70	0	-80	0
109	70	0	-75	0
110	70	0	-70	0
111	70	0	-65	0
112	70	0	-60	0
113	70	0	-55	0
114	70	0	-50	0
115	70	0	-45	0
116	70	0	-40	0
117	70	0	-35	0
118	70	0	-30	0
119	70	0	-25	0
120	70	0	-20	0
121	70	0	-15	0
122	70	0	-10	0
123	70	0	-5	0
124	70	0	0	0
125	70	0	5	0
126	70	0	10	0
127	70	0	15	0
128	70	0	20	0
129	70	0	25	0
130	70	0	30	0
131	70	0	35	0
132	70	0	40	0
133	70	0	45	0
134	70	0	50	0
135	70	0	55	0
136	70	0	60	0
137	70	0	65	0
138	70	0	70	0
139	70	0	75	0
140	70	0	80	0
141	70	0	85	0
142	0	0	45	0
