%	2026/06/08 - Black paint angles for Lazuli Space Observatory (v1.1);
%	Contact: Jacob P. Krell (LOFT group, jacobpkrell@arizona.edu);
%   Notes(s): includes 0/45 calibration measurements; 
%Measurement #	Source_zenith	Source_azimuth	View_zenith	View_azimuth
1	0	0	45	180
2	10	0	85	0
3	10	0	80	0
4	10	0	75	0
5	10	0	70	0
6	10	0	65	0
7	10	0	60	0
8	10	0	55	0
9	10	0	50	0
10	10	0	45	0
11	10	0	40	0
12	10	0	35	0
13	10	0	30	0
14	10	0	25	0
15	10	0	20	0
16	10	0	15	0
17	10	0	10	0
18	10	0	5	0
19	10	0	0	180
20	10	0	5	180
21	10	0	10	180
22	10	0	15	180
23	10	0	20	180
24	10	0	25	180
25	10	0	30	180
26	10	0	35	180
27	10	0	40	180
28	10	0	45	180
29	10	0	50	180
30	10	0	55	180
31	10	0	60	180
32	10	0	65	180
33	10	0	70	180
34	10	0	75	180
35	10	0	80	180
36	10	0	85	180
37	30	0	85	0
38	30	0	80	0
39	30	0	75	0
40	30	0	70	0
41	30	0	65	0
42	30	0	60	0
43	30	0	55	0
44	30	0	50	0
45	30	0	45	0
46	30	0	40	0
47	30	0	35	0
48	30	0	30	0
49	30	0	25	0
50	30	0	20	0
51	30	0	15	0
52	30	0	10	0
53	30	0	5	0
54	30	0	0	180
55	30	0	5	180
56	30	0	10	180
57	30	0	15	180
58	30	0	20	180
59	30	0	25	180
60	30	0	30	180
61	30	0	35	180
62	30	0	40	180
63	30	0	45	180
64	30	0	50	180
65	30	0	55	180
66	30	0	60	180
67	30	0	65	180
68	30	0	70	180
69	30	0	75	180
70	30	0	80	180
71	30	0	85	180
72	50	0	85	0
73	50	0	80	0
74	50	0	75	0
75	50	0	70	0
76	50	0	65	0
77	50	0	60	0
78	50	0	55	0
79	50	0	50	0
80	50	0	45	0
81	50	0	40	0
82	50	0	35	0
83	50	0	30	0
84	50	0	25	0
85	50	0	20	0
86	50	0	15	0
87	50	0	10	0
88	50	0	5	0
89	50	0	0	180
90	50	0	5	180
91	50	0	10	180
92	50	0	15	180
93	50	0	20	180
94	50	0	25	180
95	50	0	30	180
96	50	0	35	180
97	50	0	40	180
98	50	0	45	180
99	50	0	50	180
100	50	0	55	180
101	50	0	60	180
102	50	0	65	180
103	50	0	70	180
104	50	0	75	180
105	50	0	80	180
106	50	0	85	180
107	70	0	85	0
108	70	0	80	0
109	70	0	75	0
110	70	0	70	0
111	70	0	65	0
112	70	0	60	0
113	70	0	55	0
114	70	0	50	0
115	70	0	45	0
116	70	0	40	0
117	70	0	35	0
118	70	0	30	0
119	70	0	25	0
120	70	0	20	0
121	70	0	15	0
122	70	0	10	0
123	70	0	5	0
124	70	0	0	180
125	70	0	5	180
126	70	0	10	180
127	70	0	15	180
128	70	0	20	180
129	70	0	25	180
130	70	0	30	180
131	70	0	35	180
132	70	0	40	180
133	70	0	45	180
134	70	0	50	180
135	70	0	55	180
136	70	0	60	180
137	70	0	65	180
138	70	0	70	180
139	70	0	75	180
140	70	0	80	180
141	70	0	85	180
142	0	0	45	180
