BRF Values
Spectralon 7
Measurements taken on Apr 09 2025 by matt
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	1243.53nm	1380.83nm	1646.05nm	2133.48nm	2164.17nm	2207.75nm	2262.85nm	2332.17nm	2402.92nm
  0.000	  0.000	 45.000	180.000	1.018072	1.021672	1.017006	0.960191	0.966871	0.987952	0.986106	0.969675	0.951048
 12.000	  0.000	  0.000	  0.000	1.072113	1.075676	1.070799	1.007068	1.014639	1.036120	1.035516	1.018139	0.998699
 15.000	  0.000	  0.000	  0.000	1.069131	1.072451	1.068179	1.002860	1.008850	1.033758	1.031407	1.014433	0.994759
 20.000	  0.000	  0.000	  0.000	1.061982	1.065617	1.059498	0.996719	1.003246	1.026770	1.025239	1.008222	0.988726
 25.000	  0.000	  0.000	  0.000	1.056722	1.060493	1.053412	0.991786	0.996835	1.021698	1.019780	1.001900	0.984421
 30.000	  0.000	  0.000	  0.000	1.049887	1.051797	1.046047	0.984994	0.990491	1.014751	1.012898	0.996157	0.978600
 35.000	  0.000	  0.000	  0.000	1.042327	1.044599	1.038638	0.978704	0.984283	1.008380	1.004968	0.989273	0.971842
 40.000	  0.000	  0.000	  0.000	1.032747	1.036769	1.031100	0.972614	0.975420	1.000236	0.998621	0.981609	0.964106
 45.000	  0.000	  0.000	  0.000	1.023132	1.026914	1.020792	0.963875	0.967097	0.992390	0.989142	0.974862	0.956715
 50.000	  0.000	  0.000	  0.000	1.011591	1.016221	1.010559	0.955534	0.957838	0.981611	0.979666	0.964028	0.946916
 55.000	  0.000	  0.000	  0.000	0.999285	1.002703	0.997825	0.943097	0.946686	0.969707	0.968306	0.952837	0.936963
 60.000	  0.000	  0.000	  0.000	0.984797	0.987663	0.982604	0.931111	0.933100	0.955631	0.952967	0.940917	0.923915
 65.000	  0.000	  0.000	  0.000	0.964364	0.968038	0.961757	0.914358	0.915856	0.938219	0.935072	0.922617	0.907676
 70.000	  0.000	  0.000	  0.000	0.939779	0.944195	0.939788	0.893748	0.894739	0.916750	0.914837	0.902443	0.886544
 75.000	  0.000	  0.000	  0.000	0.906756	0.911328	0.907689	0.863704	0.864643	0.888874	0.884544	0.872843	0.858331
 45.000	  0.000	 45.000	180.000	1.087340	1.091783	1.086748	1.035732	1.035957	1.060279	1.057619	1.043692	1.027810
  0.000	  0.000	 45.000	180.000	1.018659	1.021396	1.017569	0.959929	0.965829	0.986158	0.985558	0.969797	0.950949
