BRF Values
UA Working NIST reference as ref for LOFT Aeroglaze 2307 9924 3x6" sample
Measurements taken on Jul 15 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
  0.000	  0.000	 45.000	  0.000	1.014702	1.018809
 10.000	  0.000	 75.000	180.000	0.904224	0.903437
 10.000	  0.000	 70.000	180.000	0.938868	0.940837
 10.000	  0.000	 65.000	180.000	0.964149	0.968266
 10.000	  0.000	 60.000	180.000	0.986564	0.989948
 10.000	  0.000	 55.000	180.000	1.003922	1.007073
 10.000	  0.000	 50.000	180.000	1.015485	1.021447
 10.000	  0.000	 45.000	180.000	1.026906	1.032708
 10.000	  0.000	 40.000	180.000	1.036675	1.042724
 10.000	  0.000	 35.000	180.000	1.042685	1.051247
 10.000	  0.000	 30.000	180.000	1.050515	1.058896
 10.000	  0.000	 25.000	180.000	1.056128	1.066067
 10.000	  0.000	 20.000	180.000	1.060984	1.069632
 10.000	  0.000	 15.000	180.000	1.062494	1.073780
 10.000	  0.000	 10.000	180.000	1.065539	1.077386
 10.000	  0.000	  5.000	180.000	1.067712	1.080433
 10.000	  0.000	  2.000	180.000	1.070350	1.081843
 10.000	  0.000	 22.000	  0.000	1.055787	1.061825
 10.000	  0.000	 25.000	  0.000	1.050024	1.056608
 10.000	  0.000	 30.000	  0.000	1.042575	1.045040
 10.000	  0.000	 35.000	  0.000	1.032192	1.033566
 10.000	  0.000	 40.000	  0.000	1.017972	1.020230
 10.000	  0.000	 45.000	  0.000	1.003522	1.006544
 10.000	  0.000	 50.000	  0.000	0.991113	0.990155
 10.000	  0.000	 55.000	  0.000	0.974151	0.971370
 10.000	  0.000	 60.000	  0.000	0.952099	0.949450
 10.000	  0.000	 65.000	  0.000	0.928141	0.922571
 10.000	  0.000	 70.000	  0.000	0.896960	0.890943
 10.000	  0.000	 75.000	  0.000	0.857227	0.848695
 30.000	  0.000	 75.000	180.000	0.983856	0.991776
 30.000	  0.000	 70.000	180.000	1.007962	1.021358
 30.000	  0.000	 65.000	180.000	1.026627	1.039679
 30.000	  0.000	 60.000	180.000	1.037770	1.052080
 30.000	  0.000	 55.000	180.000	1.043019	1.059629
 30.000	  0.000	 50.000	180.000	1.049773	1.064875
 30.000	  0.000	 45.000	180.000	1.053773	1.068884
 30.000	  0.000	 40.000	180.000	1.053615	1.069010
 30.000	  0.000	 35.000	180.000	1.054868	1.068368
 30.000	  0.000	 30.000	180.000	1.055710	1.067722
 30.000	  0.000	 25.000	180.000	1.054308	1.066442
 30.000	  0.000	 20.000	180.000	1.053113	1.064795
 30.000	  0.000	 15.000	180.000	1.051929	1.062645
 30.000	  0.000	 10.000	180.000	1.050505	1.058813
 30.000	  0.000	  5.000	180.000	1.049010	1.056434
 30.000	  0.000	  0.000	  0.000	1.045595	1.052124
 30.000	  0.000	  5.000	  0.000	1.041767	1.048664
 30.000	  0.000	 10.000	  0.000	1.037720	1.045501
 30.000	  0.000	 15.000	  0.000	1.034230	1.040512
 30.000	  0.000	 18.000	  0.000	1.032694	1.040431
 30.000	  0.000	 42.000	  0.000	0.992886	0.995764
 30.000	  0.000	 45.000	  0.000	0.983712	0.986854
 30.000	  0.000	 50.000	  0.000	0.967343	0.968919
 30.000	  0.000	 55.000	  0.000	0.948782	0.950935
 30.000	  0.000	 60.000	  0.000	0.927942	0.925887
 30.000	  0.000	 65.000	  0.000	0.903289	0.900358
 30.000	  0.000	 70.000	  0.000	0.873504	0.868636
 30.000	  0.000	 75.000	  0.000	0.835285	0.826726
 50.000	  0.000	 75.000	180.000	1.166555	1.214828
 50.000	  0.000	 70.000	180.000	1.154360	1.205713
 50.000	  0.000	 65.000	180.000	1.139201	1.190230
 50.000	  0.000	 60.000	180.000	1.123234	1.171585
 50.000	  0.000	 55.000	180.000	1.108078	1.154086
