BRF Values
LOFT 3x6" sample INVAR_Aeroglaze_2307_9924
Measurements taken on Jul 15 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
  0.000	  0.000	 45.000	  0.000	0.030455	0.032276
 10.000	  0.000	 75.000	180.000	0.035489	0.036038
 10.000	  0.000	 70.000	180.000	0.034161	0.036094
 10.000	  0.000	 65.000	180.000	0.032988	0.035920
 10.000	  0.000	 60.000	180.000	0.032272	0.035529
 10.000	  0.000	 55.000	180.000	0.031631	0.035560
 10.000	  0.000	 50.000	180.000	0.031213	0.035879
 10.000	  0.000	 45.000	180.000	0.031040	0.036336
 10.000	  0.000	 40.000	180.000	0.030981	0.037148
 10.000	  0.000	 35.000	180.000	0.031058	0.038622
 10.000	  0.000	 30.000	180.000	0.031307	0.041053
 10.000	  0.000	 25.000	180.000	0.031977	0.043981
 10.000	  0.000	 20.000	180.000	0.032461	0.046266
 10.000	  0.000	 15.000	180.000	0.033246	0.050571
 10.000	  0.000	 10.000	180.000	0.033962	0.054847
 10.000	  0.000	  5.000	180.000	0.034255	0.053023
 10.000	  0.000	  2.000	180.000	0.034282	0.051180
 10.000	  0.000	 22.000	  0.000	0.032872	0.035448
 10.000	  0.000	 25.000	  0.000	0.032448	0.034913
 10.000	  0.000	 30.000	  0.000	0.031812	0.033271
 10.000	  0.000	 35.000	  0.000	0.031351	0.032134
 10.000	  0.000	 40.000	  0.000	0.030977	0.031282
 10.000	  0.000	 45.000	  0.000	0.030694	0.030499
 10.000	  0.000	 50.000	  0.000	0.030573	0.029887
 10.000	  0.000	 55.000	  0.000	0.030455	0.029475
