BRF Values
UA Working NIST reference as ref for LOFT Aeroglaze sample
Measurements taken on Jul 06 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	630.79nm	1059.04nm
  0.000	  0.000	 45.000	  0.000	1.017606	1.022141	1.019241
 10.000	  0.000	 75.000	180.000	0.908255	0.909343	0.903772
 10.000	  0.000	 70.000	180.000	0.943173	0.946337	0.942652
 10.000	  0.000	 65.000	180.000	0.969724	0.974242	0.970088
 10.000	  0.000	 60.000	180.000	0.989635	0.992831	0.991125
 10.000	  0.000	 55.000	180.000	1.006194	1.008725	1.008452
 10.000	  0.000	 50.000	180.000	1.018090	1.023642	1.022569
 10.000	  0.000	 45.000	180.000	1.031840	1.033883	1.033730
 10.000	  0.000	 40.000	180.000	1.032093	1.043020	1.044954
 10.000	  0.000	 35.000	180.000	1.037079	1.051436	1.052580
 10.000	  0.000	 30.000	180.000	1.045118	1.057479	1.057618
 10.000	  0.000	 25.000	180.000	1.051486	1.060907	1.065822
 10.000	  0.000	 20.000	180.000	1.054842	1.067323	1.071962
 10.000	  0.000	 15.000	180.000	1.057428	1.069201	1.075559
 10.000	  0.000	 10.000	180.000	1.063888	1.075017	1.077633
 10.000	  0.000	  5.000	180.000	1.072269	1.076084	1.081774
 10.000	  0.000	  2.000	180.000	1.075583	1.079154	1.083169
 10.000	  0.000	 22.000	  0.000	1.058542	1.062233	1.062708
 10.000	  0.000	 25.000	  0.000	1.053744	1.057817	1.059155
 10.000	  0.000	 30.000	  0.000	1.045930	1.047002	1.046873
 10.000	  0.000	 35.000	  0.000	1.034506	1.034631	1.033744
 10.000	  0.000	 40.000	  0.000	1.022084	1.025300	1.022814
 10.000	  0.000	 45.000	  0.000	1.009350	1.011368	1.009653
 10.000	  0.000	 50.000	  0.000	0.993515	0.995595	0.992541
 10.000	  0.000	 55.000	  0.000	0.977761	0.977500	0.972947
 10.000	  0.000	 60.000	  0.000	0.955966	0.955598	0.950838
 10.000	  0.000	 65.000	  0.000	0.930371	0.929605	0.925048
 10.000	  0.000	 70.000	  0.000	0.901313	0.897758	0.892067
 10.000	  0.000	 75.000	  0.000	0.861238	0.856600	0.850753
 30.000	  0.000	 75.000	180.000	0.987938	0.997117	0.994144
 30.000	  0.000	 70.000	180.000	1.014768	1.022454	1.023470
 30.000	  0.000	 65.000	180.000	1.029702	1.040491	1.041604
 30.000	  0.000	 60.000	180.000	1.039782	1.050183	1.053496
 30.000	  0.000	 55.000	180.000	1.048162	1.056500	1.060597
 30.000	  0.000	 50.000	180.000	1.053997	1.061781	1.067138
 30.000	  0.000	 45.000	180.000	1.044449	1.065272	1.070003
 30.000	  0.000	 40.000	180.000	1.045660	1.064206	1.071506
 30.000	  0.000	 35.000	180.000	1.047714	1.062003	1.070800
 30.000	  0.000	 30.000	180.000	1.048275	1.065761	1.068362
 30.000	  0.000	 25.000	180.000	1.049073	1.065596	1.068941
 30.000	  0.000	 20.000	180.000	1.047924	1.063150	1.065829
 30.000	  0.000	 15.000	180.000	1.049667	1.060464	1.063973
 30.000	  0.000	 10.000	180.000	1.055957	1.059353	1.060914
 30.000	  0.000	  5.000	180.000	1.051223	1.056077	1.057260
 30.000	  0.000	  0.000	  0.000	1.050631	1.053990	1.055052
 30.000	  0.000	  5.000	  0.000	1.045932	1.050741	1.051353
 30.000	  0.000	 10.000	  0.000	1.046794	1.048259	1.047046
 30.000	  0.000	 15.000	  0.000	1.044384	1.041106	1.042354
 30.000	  0.000	 18.000	  0.000	1.041969	1.043979	1.042815
 30.000	  0.000	 42.000	  0.000	1.003585	1.002389	0.997552
 30.000	  0.000	 45.000	  0.000	0.996872	0.990033	0.986993
 30.000	  0.000	 50.000	  0.000	0.977234	0.974474	0.968030
 30.000	  0.000	 55.000	  0.000	0.959861	0.954240	0.948402
 30.000	  0.000	 60.000	  0.000	0.939431	0.933301	0.925121
 30.000	  0.000	 65.000	  0.000	0.914661	0.908621	0.900855
 30.000	  0.000	 70.000	  0.000	0.883281	0.876767	0.869946
 30.000	  0.000	 75.000	  0.000	0.838480	0.837411	0.826172
 50.000	  0.000	 75.000	180.000	1.165312	1.202607	1.211955
 50.000	  0.000	 70.000	180.000	1.155125	1.189483	1.203976
 50.000	  0.000	 65.000	180.000	1.138532	1.173389	1.188845
 50.000	  0.000	 60.000	180.000	1.121880	1.155517	1.172106
 50.000	  0.000	 55.000	180.000	1.108506	1.135003	1.153387
 50.000	  0.000	 50.000	180.000	1.094605	1.120402	1.134764
 50.000	  0.000	 45.000	180.000	1.079382	1.098765	1.117958
 50.000	  0.000	 40.000	180.000	1.066310	1.084929	1.098741
 50.000	  0.000	 35.000	180.000	1.055670	1.071085	1.084146
 50.000	  0.000	 30.000	180.000	1.045455	1.059684	1.068914
 50.000	  0.000	 25.000	180.000	1.048075	1.052984	1.057763
 50.000	  0.000	 20.000	180.000	1.038467	1.041780	1.041504
 50.000	  0.000	 15.000	180.000	1.030437	1.032675	1.033848
 50.000	  0.000	 10.000	180.000	1.023835	1.025108	1.023080
 50.000	  0.000	  5.000	180.000	1.018944	1.016817	1.016120
 50.000	  0.000	  0.000	  0.000	1.011967	1.009576	1.007545
 50.000	  0.000	  5.000	  0.000	1.006952	1.002704	1.000181
 50.000	  0.000	 10.000	  0.000	0.999811	0.997440	0.993337
 50.000	  0.000	 15.000	  0.000	0.996884	0.993688	0.987876
 50.000	  0.000	 20.000	  0.000	0.990523	0.987407	0.980217
 50.000	  0.000	 25.000	  0.000	0.987395	0.982881	0.974102
 50.000	  0.000	 30.000	  0.000	0.985807	0.977104	0.971038
 50.000	  0.000	 35.000	  0.000	0.978643	0.973755	0.964292
 50.000	  0.000	 38.000	  0.000	0.980232	0.969992	0.963229
 50.000	  0.000	 62.000	  0.000	0.927422	0.913355	0.901431
 50.000	  0.000	 65.000	  0.000	0.910130	0.899773	0.887245
 50.000	  0.000	 70.000	  0.000	0.887746	0.870886	0.857209
 50.000	  0.000	 75.000	  0.000	0.854844	0.834730	0.818072
 70.000	  0.000	 75.000	180.000	1.882353	1.956024	2.025666
 70.000	  0.000	 70.000	180.000	1.634366	1.690078	1.746987
 70.000	  0.000	 65.000	180.000	1.470677	1.512820	1.566870
 70.000	  0.000	 60.000	180.000	1.349325	1.381314	1.422171
 70.000	  0.000	 55.000	180.000	1.253601	1.279439	1.314539
 70.000	  0.000	 50.000	180.000	1.184014	1.203205	1.226829
 70.000	  0.000	 45.000	180.000	1.118011	1.145698	1.162604
 70.000	  0.000	 40.000	180.000	1.077517	1.098572	1.112222
 70.000	  0.000	 35.000	180.000	1.042903	1.055187	1.071681
 70.000	  0.000	 30.000	180.000	1.014907	1.025198	1.039937
 70.000	  0.000	 25.000	180.000	0.993931	1.005982	1.013763
 70.000	  0.000	 20.000	180.000	0.976596	0.982897	0.989839
 70.000	  0.000	 15.000	180.000	0.958544	0.966058	0.970801
 70.000	  0.000	 10.000	180.000	0.946275	0.951377	0.954177
 70.000	  0.000	  5.000	180.000	0.932671	0.939123	0.938601
 70.000	  0.000	  0.000	  0.000	0.923371	0.927275	0.927720
 70.000	  0.000	  5.000	  0.000	0.916463	0.917401	0.919947
 70.000	  0.000	 10.000	  0.000	0.911232	0.909412	0.909499
 70.000	  0.000	 15.000	  0.000	0.903056	0.903678	0.900985
 70.000	  0.000	 20.000	  0.000	0.897658	0.898561	0.894713
 70.000	  0.000	 25.000	  0.000	0.895989	0.892524	0.890072
 70.000	  0.000	 30.000	  0.000	0.892520	0.890716	0.884980
 70.000	  0.000	 35.000	  0.000	0.893722	0.887216	0.882745
 70.000	  0.000	 40.000	  0.000	0.891617	0.885257	0.877930
 70.000	  0.000	 45.000	  0.000	0.890760	0.883286	0.875502
 70.000	  0.000	 50.000	  0.000	0.893452	0.884469	0.876069
 70.000	  0.000	 55.000	  0.000	0.898154	0.885453	0.877727
 70.000	  0.000	 58.000	  0.000	0.903060	0.886284	0.868237
  0.000	  0.000	 45.000	  0.000	1.006114	1.019710	1.020835
