BRF Values
UA NIST Working Reference as ref for second LOFT 3x6" sample of the day
Measurements taken on Jul 15 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
  0.000	  0.000	 45.000	  0.000	1.011437	1.021686
 10.000	  0.000	 75.000	180.000	0.901978	0.906078
 10.000	  0.000	 70.000	180.000	0.935544	0.943170
 10.000	  0.000	 65.000	180.000	0.962300	0.969500
 10.000	  0.000	 60.000	180.000	0.981979	0.990230
 10.000	  0.000	 55.000	180.000	1.000160	1.009740
 10.000	  0.000	 50.000	180.000	1.011868	1.023819
 10.000	  0.000	 45.000	180.000	1.022389	1.033824
 10.000	  0.000	 40.000	180.000	1.030359	1.045287
 10.000	  0.000	 35.000	180.000	1.039356	1.054272
 10.000	  0.000	 30.000	180.000	1.046017	1.062696
 10.000	  0.000	 25.000	180.000	1.052525	1.068991
 10.000	  0.000	 20.000	180.000	1.055801	1.072270
 10.000	  0.000	 15.000	180.000	1.059328	1.076868
 10.000	  0.000	 10.000	180.000	1.060756	1.079841
 10.000	  0.000	  5.000	180.000	1.065399	1.082055
 10.000	  0.000	  2.000	180.000	1.066960	1.083511
 10.000	  0.000	 22.000	  0.000	1.052312	1.064577
 10.000	  0.000	 25.000	  0.000	1.047583	1.057604
 10.000	  0.000	 30.000	  0.000	1.036332	1.048388
 10.000	  0.000	 35.000	  0.000	1.026678	1.035170
 10.000	  0.000	 40.000	  0.000	1.013626	1.020920
 10.000	  0.000	 45.000	  0.000	1.003106	1.007568
 10.000	  0.000	 50.000	  0.000	0.988191	0.991687
 10.000	  0.000	 55.000	  0.000	0.968894	0.974171
 10.000	  0.000	 60.000	  0.000	0.950684	0.952302
 10.000	  0.000	 65.000	  0.000	0.924880	0.923858
 10.000	  0.000	 70.000	  0.000	0.893081	0.892819
 10.000	  0.000	 75.000	  0.000	0.855072	0.850047
 30.000	  0.000	 75.000	180.000	0.981425	0.992760
 30.000	  0.000	 70.000	180.000	1.005145	1.022444
 30.000	  0.000	 65.000	180.000	1.022165	1.041140
 30.000	  0.000	 60.000	180.000	1.033158	1.054419
 30.000	  0.000	 55.000	180.000	1.040314	1.061879
 30.000	  0.000	 50.000	180.000	1.045579	1.066635
 30.000	  0.000	 45.000	180.000	1.048804	1.070095
 30.000	  0.000	 40.000	180.000	1.052347	1.072834
 30.000	  0.000	 35.000	180.000	1.049141	1.069892
 30.000	  0.000	 30.000	180.000	1.050707	1.069624
 30.000	  0.000	 25.000	180.000	1.051707	1.066972
 30.000	  0.000	 20.000	180.000	1.050939	1.065813
 30.000	  0.000	 15.000	180.000	1.050368	1.065251
 30.000	  0.000	 10.000	180.000	1.046081	1.062933
 30.000	  0.000	  5.000	180.000	1.045240	1.059121
 30.000	  0.000	  0.000	  0.000	1.041818	1.053773
 30.000	  0.000	  5.000	  0.000	1.042561	1.050407
 30.000	  0.000	 10.000	  0.000	1.039587	1.047555
 30.000	  0.000	 15.000	  0.000	1.036692	1.043210
 30.000	  0.000	 18.000	  0.000	1.036604	1.043618
 30.000	  0.000	 42.000	  0.000	0.996258	0.994918
 30.000	  0.000	 45.000	  0.000	0.986123	0.987672
 30.000	  0.000	 50.000	  0.000	0.970411	0.966706
 30.000	  0.000	 55.000	  0.000	0.953762	0.947682
 30.000	  0.000	 60.000	  0.000	0.933049	0.925714
 30.000	  0.000	 65.000	  0.000	0.905334	0.898527
 30.000	  0.000	 70.000	  0.000	0.877423	0.868576
 30.000	  0.000	 75.000	  0.000	0.838041	0.825975
 50.000	  0.000	 75.000	180.000	1.168847	1.213079
 50.000	  0.000	 70.000	180.000	1.156866	1.205433
 50.000	  0.000	 65.000	180.000	1.143777	1.189629
 50.000	  0.000	 60.000	180.000	1.127613	1.170463
 50.000	  0.000	 55.000	180.000	1.111160	1.152543
 50.000	  0.000	 50.000	180.000	1.095248	1.134833
 50.000	  0.000	 45.000	180.000	1.082455	1.115132
 50.000	  0.000	 40.000	180.000	1.070622	1.099838
 50.000	  0.000	 35.000	180.000	1.059086	1.084067
 50.000	  0.000	 30.000	180.000	1.047930	1.066523
 50.000	  0.000	 25.000	180.000	1.037746	1.057273
 50.000	  0.000	 20.000	180.000	1.027830	1.045574
 50.000	  0.000	 15.000	180.000	1.025009	1.035593
 50.000	  0.000	 10.000	180.000	1.014882	1.023367
 50.000	  0.000	  5.000	180.000	1.008688	1.019376
 50.000	  0.000	  0.000	  0.000	1.002957	1.008240
 50.000	  0.000	  5.000	  0.000	0.997573	1.000315
 50.000	  0.000	 10.000	  0.000	0.993530	0.992228
 50.000	  0.000	 15.000	  0.000	0.989445	0.988932
 50.000	  0.000	 20.000	  0.000	0.985536	0.983610
 50.000	  0.000	 25.000	  0.000	0.980222	0.975889
 50.000	  0.000	 30.000	  0.000	0.975895	0.970041
 50.000	  0.000	 35.000	  0.000	0.974353	0.965274
 50.000	  0.000	 38.000	  0.000	0.972659	0.962590
 50.000	  0.000	 62.000	  0.000	0.919576	0.899875
 50.000	  0.000	 65.000	  0.000	0.903482	0.885769
 50.000	  0.000	 70.000	  0.000	0.878942	0.855593
 50.000	  0.000	 75.000	  0.000	0.845597	0.816518
 70.000	  0.000	 75.000	180.000	1.865237	2.024418
 70.000	  0.000	 70.000	180.000	1.620961	1.744086
 70.000	  0.000	 65.000	180.000	1.462261	1.571545
 70.000	  0.000	 60.000	180.000	1.337118	1.425000
 70.000	  0.000	 55.000	180.000	1.245607	1.312800
 70.000	  0.000	 50.000	180.000	1.173344	1.227580
 70.000	  0.000	 45.000	180.000	1.121476	1.164549
 70.000	  0.000	 40.000	180.000	1.081053	1.114178
 70.000	  0.000	 35.000	180.000	1.047922	1.074338
 70.000	  0.000	 30.000	180.000	1.017281	1.041640
 70.000	  0.000	 25.000	180.000	0.997536	1.012323
 70.000	  0.000	 20.000	180.000	0.976697	0.992452
 70.000	  0.000	 15.000	180.000	0.961540	0.972120
 70.000	  0.000	 10.000	180.000	0.947682	0.954232
 70.000	  0.000	  5.000	180.000	0.935360	0.941362
 70.000	  0.000	  0.000	  0.000	0.925601	0.929551
 70.000	  0.000	  5.000	  0.000	0.917914	0.919360
 70.000	  0.000	 10.000	  0.000	0.911974	0.908643
 70.000	  0.000	 15.000	  0.000	0.907696	0.902599
 70.000	  0.000	 20.000	  0.000	0.902984	0.897706
 70.000	  0.000	 25.000	  0.000	0.899215	0.890963
 70.000	  0.000	 30.000	  0.000	0.894080	0.886870
 70.000	  0.000	 35.000	  0.000	0.894872	0.881674
 70.000	  0.000	 40.000	  0.000	0.893901	0.878654
 70.000	  0.000	 45.000	  0.000	0.896905	0.878257
 70.000	  0.000	 50.000	  0.000	0.898607	0.875170
 70.000	  0.000	 55.000	  0.000	0.903192	0.876470
 70.000	  0.000	 58.000	  0.000	0.903397	0.868672
  0.000	  0.000	 45.000	  0.000	1.012284	1.018389
