BRF Values
LOFT 3x6" sample Invar Anoplate NITE
Measurements taken on Jul 15 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
  0.000	  0.000	 45.000	  0.000	0.044249	0.059202
 10.000	  0.000	 75.000	180.000	0.050545	0.057826
 10.000	  0.000	 70.000	180.000	0.050518	0.060494
 10.000	  0.000	 65.000	180.000	0.051901	0.063658
 10.000	  0.000	 60.000	180.000	0.054011	0.067087
 10.000	  0.000	 55.000	180.000	0.056533	0.072627
 10.000	  0.000	 50.000	180.000	0.060293	0.080017
 10.000	  0.000	 45.000	180.000	0.066298	0.089071
 10.000	  0.000	 40.000	180.000	0.075100	0.101886
 10.000	  0.000	 35.000	180.000	0.088415	0.121604
 10.000	  0.000	 30.000	180.000	0.108489	0.150256
 10.000	  0.000	 25.000	180.000	0.143428	0.202774
 10.000	  0.000	 20.000	180.000	0.209273	0.309394
 10.000	  0.000	 15.000	180.000	0.326888	0.520615
 10.000	  0.000	 10.000	180.000	0.413103	0.695533
 10.000	  0.000	  5.000	180.000	0.299112	0.464290
 10.000	  0.000	  2.000	180.000	0.217286	0.323356
 10.000	  0.000	 22.000	  0.000	0.055688	0.078886
 10.000	  0.000	 25.000	  0.000	0.050390	0.071075
 10.000	  0.000	 30.000	  0.000	0.043995	0.061125
 10.000	  0.000	 35.000	  0.000	0.038881	0.052531
 10.000	  0.000	 40.000	  0.000	0.034331	0.046401
 10.000	  0.000	 45.000	  0.000	0.030688	0.040736
 10.000	  0.000	 50.000	  0.000	0.028257	0.036527
 10.000	  0.000	 55.000	  0.000	0.026006	0.033194
 10.000	  0.000	 60.000	  0.000	0.024217	0.030282
 10.000	  0.000	 65.000	  0.000	0.022758	0.027894
 10.000	  0.000	 70.000	  0.000	0.021521	0.025075
 10.000	  0.000	 75.000	  0.000	0.019821	0.022144
 30.000	  0.000	 75.000	180.000	0.166323	0.186221
 30.000	  0.000	 70.000	180.000	0.154478	0.178435
 30.000	  0.000	 65.000	180.000	0.150032	0.176306
 30.000	  0.000	 60.000	180.000	0.151242	0.180371
 30.000	  0.000	 55.000	180.000	0.160381	0.195523
 30.000	  0.000	 50.000	180.000	0.180804	0.224662
 30.000	  0.000	 45.000	180.000	0.221835	0.281000
 30.000	  0.000	 40.000	180.000	0.307168	0.408421
 30.000	  0.000	 35.000	180.000	0.454464	0.670547
 30.000	  0.000	 30.000	180.000	0.554860	0.873932
 30.000	  0.000	 25.000	180.000	0.384214	0.558500
 30.000	  0.000	 20.000	180.000	0.217724	0.299408
 30.000	  0.000	 15.000	180.000	0.137590	0.192534
 30.000	  0.000	 10.000	180.000	0.100128	0.139659
 30.000	  0.000	  5.000	180.000	0.078480	0.110341
 30.000	  0.000	  0.000	  0.000	0.064046	0.089208
 30.000	  0.000	  5.000	  0.000	0.053508	0.073936
 30.000	  0.000	 10.000	  0.000	0.044819	0.061774
 30.000	  0.000	 15.000	  0.000	0.038241	0.051574
 30.000	  0.000	 18.000	  0.000	0.034879	0.046776
 30.000	  0.000	 42.000	  0.000	0.008605	0.023857
 30.000	  0.000	 45.000	  0.000	0.007566	0.022617
 30.000	  0.000	 50.000	  0.000	0.006191	0.020230
 30.000	  0.000	 55.000	  0.000	0.006253	0.018295
 30.000	  0.000	 60.000	  0.000	0.006347	0.016478
 30.000	  0.000	 65.000	  0.000	0.004789	0.014922
 30.000	  0.000	 70.000	  0.000	0.005899	0.012880
 30.000	  0.000	 75.000	  0.000	0.004136	0.010114
 50.000	  0.000	 75.000	180.000	0.837189	0.904210
 50.000	  0.000	 70.000	180.000	0.763315	0.829970
 50.000	  0.000	 65.000	180.000	0.778965	0.860255
 50.000	  0.000	 60.000	180.000	0.921765	1.050927
 50.000	  0.000	 55.000	180.000	1.205182	1.524445
 50.000	  0.000	 50.000	180.000	1.320101	1.870994
 50.000	  0.000	 45.000	180.000	0.823815	1.048399
 50.000	  0.000	 40.000	180.000	0.423290	0.513452
 50.000	  0.000	 35.000	180.000	0.248106	0.308712
 50.000	  0.000	 30.000	180.000	0.169464	0.213258
 50.000	  0.000	 25.000	180.000	0.126137	0.160228
 50.000	  0.000	 20.000	180.000	0.097344	0.126151
 50.000	  0.000	 15.000	180.000	0.077263	0.101108
 50.000	  0.000	 10.000	180.000	0.062601	0.081836
 50.000	  0.000	  5.000	180.000	0.051180	0.066347
 50.000	  0.000	  0.000	  0.000	0.042138	0.054022
 50.000	  0.000	  5.000	  0.000	0.035315	0.044514
 50.000	  0.000	 10.000	  0.000	0.029893	0.037727
 50.000	  0.000	 15.000	  0.000	0.010257	0.031808
 50.000	  0.000	 20.000	  0.000	0.008428	0.027215
 50.000	  0.000	 25.000	  0.000	0.006964	0.023596
 50.000	  0.000	 30.000	  0.000	0.006115	0.020666
 50.000	  0.000	 35.000	  0.000	0.006687	0.018463
 50.000	  0.000	 38.000	  0.000	0.007277	0.017335
 50.000	  0.000	 62.000	  0.000	0.004276	0.010690
 50.000	  0.000	 65.000	  0.000	0.003905	0.010312
 50.000	  0.000	 70.000	  0.000	0.003254	0.008822
 50.000	  0.000	 75.000	  0.000	0.003281	0.006714
 70.000	  0.000	 75.000	180.000	6.043779	5.141055
 70.000	  0.000	 70.000	180.000	6.044962	5.141318
 70.000	  0.000	 65.000	180.000	5.933281	5.141520
 70.000	  0.000	 60.000	180.000	2.487036	2.639502
 70.000	  0.000	 55.000	180.000	1.247035	1.339930
 70.000	  0.000	 50.000	180.000	0.730745	0.793118
 70.000	  0.000	 45.000	180.000	0.468570	0.516073
 70.000	  0.000	 40.000	180.000	0.318839	0.355173
 70.000	  0.000	 35.000	180.000	0.225024	0.254531
 70.000	  0.000	 30.000	180.000	0.163292	0.187199
 70.000	  0.000	 25.000	180.000	0.120617	0.137012
 70.000	  0.000	 20.000	180.000	0.092062	0.106219
 70.000	  0.000	 15.000	180.000	0.071294	0.081661
 70.000	  0.000	 10.000	180.000	0.057132	0.064593
 70.000	  0.000	  5.000	180.000	0.016838	0.051230
 70.000	  0.000	  0.000	  0.000	0.015547	0.040922
 70.000	  0.000	  5.000	  0.000	0.011693	0.033105
 70.000	  0.000	 10.000	  0.000	0.011324	0.027173
 70.000	  0.000	 15.000	  0.000	0.009250	0.022598
 70.000	  0.000	 20.000	  0.000	0.007916	0.019520
 70.000	  0.000	 25.000	  0.000	0.006616	0.017196
 70.000	  0.000	 30.000	  0.000	0.004029	0.015424
 70.000	  0.000	 35.000	  0.000	0.005200	0.014316
 70.000	  0.000	 40.000	  0.000	0.005724	0.014138
 70.000	  0.000	 45.000	  0.000	0.006148	0.014987
 70.000	  0.000	 50.000	  0.000	0.005055	0.017432
 70.000	  0.000	 55.000	  0.000	0.003128	0.022191
 70.000	  0.000	 58.000	  0.000	0.006573	0.010539
  0.000	  0.000	 45.000	  0.000	0.044510	0.059064
