BRF Values
UA 10" NIST Working Reference Spectralon as ref for LOFT Invar Anoplate Nite
Measurements taken on Jul 06 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
  0.000	  0.000	 45.000	  0.000	1.011593	1.021364
 10.000	  0.000	 75.000	180.000	0.903462	0.905365
 10.000	  0.000	 70.000	180.000	0.937239	0.943905
 10.000	  0.000	 65.000	180.000	0.963694	0.969637
 10.000	  0.000	 60.000	180.000	0.983294	0.991796
 10.000	  0.000	 55.000	180.000	0.997757	1.009277
 10.000	  0.000	 50.000	180.000	1.010800	1.023369
 10.000	  0.000	 45.000	180.000	1.023680	1.035208
 10.000	  0.000	 40.000	180.000	1.031701	1.043135
 10.000	  0.000	 35.000	180.000	1.039964	1.053380
 10.000	  0.000	 30.000	180.000	1.044868	1.060427
 10.000	  0.000	 25.000	180.000	1.051745	1.069288
 10.000	  0.000	 20.000	180.000	1.053323	1.071489
 10.000	  0.000	 15.000	180.000	1.061046	1.076876
 10.000	  0.000	 10.000	180.000	1.063463	1.080328
 10.000	  0.000	  5.000	180.000	1.064731	1.083324
 10.000	  0.000	  2.000	180.000	1.066392	1.084909
 10.000	  0.000	 22.000	  0.000	1.053528	1.063402
 10.000	  0.000	 25.000	  0.000	1.048914	1.061058
 10.000	  0.000	 30.000	  0.000	1.035024	1.048342
 10.000	  0.000	 35.000	  0.000	1.028845	1.035810
 10.000	  0.000	 40.000	  0.000	1.017762	1.022806
 10.000	  0.000	 45.000	  0.000	1.003632	1.008422
 10.000	  0.000	 50.000	  0.000	0.988525	0.990670
 10.000	  0.000	 55.000	  0.000	0.972238	0.973370
 10.000	  0.000	 60.000	  0.000	0.948671	0.952995
 10.000	  0.000	 65.000	  0.000	0.926406	0.923124
 10.000	  0.000	 70.000	  0.000	0.894058	0.893544
 10.000	  0.000	 75.000	  0.000	0.856764	0.850099
 30.000	  0.000	 75.000	180.000	0.981882	0.995347
 30.000	  0.000	 70.000	180.000	1.006975	1.023996
 30.000	  0.000	 65.000	180.000	1.024169	1.040852
 30.000	  0.000	 60.000	180.000	1.034944	1.054964
 30.000	  0.000	 55.000	180.000	1.041518	1.061543
 30.000	  0.000	 50.000	180.000	1.046919	1.067661
 30.000	  0.000	 45.000	180.000	1.049582	1.071112
 30.000	  0.000	 40.000	180.000	1.051642	1.070499
 30.000	  0.000	 35.000	180.000	1.052226	1.070890
 30.000	  0.000	 30.000	180.000	1.050544	1.071697
 30.000	  0.000	 25.000	180.000	1.052943	1.068240
 30.000	  0.000	 20.000	180.000	1.053492	1.067341
 30.000	  0.000	 15.000	180.000	1.049722	1.063215
 30.000	  0.000	 10.000	180.000	1.046419	1.059633
 30.000	  0.000	  5.000	180.000	1.046168	1.058686
 30.000	  0.000	  0.000	  0.000	1.045365	1.051649
 30.000	  0.000	  5.000	  0.000	1.043712	1.051157
 30.000	  0.000	 10.000	  0.000	1.040204	1.047320
 30.000	  0.000	 15.000	  0.000	1.037367	1.043810
 30.000	  0.000	 18.000	  0.000	1.034360	1.042340
 30.000	  0.000	 42.000	  0.000	0.998445	0.996339
 30.000	  0.000	 45.000	  0.000	0.989375	0.988573
 30.000	  0.000	 50.000	  0.000	0.971851	0.968332
 30.000	  0.000	 55.000	  0.000	0.952739	0.948725
 30.000	  0.000	 60.000	  0.000	0.936125	0.928002
 30.000	  0.000	 65.000	  0.000	0.908575	0.900165
 30.000	  0.000	 70.000	  0.000	0.878808	0.868338
 30.000	  0.000	 75.000	  0.000	0.841027	0.827002
 50.000	  0.000	 75.000	180.000	1.173870	1.212545
 50.000	  0.000	 70.000	180.000	1.158797	1.204535
 50.000	  0.000	 65.000	180.000	1.144491	1.187227
 50.000	  0.000	 60.000	180.000	1.129974	1.169375
 50.000	  0.000	 55.000	180.000	1.112330	1.151562
 50.000	  0.000	 50.000	180.000	1.098619	1.131706
 50.000	  0.000	 45.000	180.000	1.085103	1.115913
 50.000	  0.000	 40.000	180.000	1.070901	1.100486
 50.000	  0.000	 35.000	180.000	1.060154	1.085363
 50.000	  0.000	 30.000	180.000	1.048624	1.070261
 50.000	  0.000	 25.000	180.000	1.038571	1.055992
 50.000	  0.000	 20.000	180.000	1.031617	1.045190
 50.000	  0.000	 15.000	180.000	1.021450	1.036130
 50.000	  0.000	 10.000	180.000	1.016491	1.023699
 50.000	  0.000	  5.000	180.000	1.009583	1.017348
 50.000	  0.000	  0.000	  0.000	1.007170	1.005528
 50.000	  0.000	  5.000	  0.000	1.000927	0.999952
 50.000	  0.000	 10.000	  0.000	0.995315	0.995525
 50.000	  0.000	 15.000	  0.000	0.989829	0.985513
 50.000	  0.000	 20.000	  0.000	0.985901	0.982485
 50.000	  0.000	 25.000	  0.000	0.983257	0.977113
 50.000	  0.000	 30.000	  0.000	0.978187	0.971162
 50.000	  0.000	 35.000	  0.000	0.976009	0.965660
