BRF Values
LOFT Invar Anoplate Nite sample
Measurements taken on Jul 06 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
  0.000	  0.000	 45.000	  0.000	0.052317	0.052427
 10.000	  0.000	 75.000	180.000	0.055896	0.052318
 10.000	  0.000	 70.000	180.000	0.056414	0.054011
 10.000	  0.000	 65.000	180.000	0.057877	0.055404
 10.000	  0.000	 60.000	180.000	0.059970	0.056828
 10.000	  0.000	 55.000	180.000	0.063594	0.060021
 10.000	  0.000	 50.000	180.000	0.068366	0.064219
 10.000	  0.000	 45.000	180.000	0.074497	0.069803
 10.000	  0.000	 40.000	180.000	0.082204	0.077100
 10.000	  0.000	 35.000	180.000	0.093130	0.086480
 10.000	  0.000	 30.000	180.000	0.106914	0.099366
 10.000	  0.000	 25.000	180.000	0.124947	0.116361
 10.000	  0.000	 20.000	180.000	0.151017	0.144985
 10.000	  0.000	 15.000	180.000	0.191399	0.195686
 10.000	  0.000	 10.000	180.000	0.237915	0.261742
 10.000	  0.000	  5.000	180.000	0.201693	0.209909
 10.000	  0.000	  2.000	180.000	0.169860	0.168566
 10.000	  0.000	 22.000	  0.000	0.067592	0.068448
 10.000	  0.000	 25.000	  0.000	0.061611	0.063560
 10.000	  0.000	 30.000	  0.000	0.053241	0.054704
 10.000	  0.000	 35.000	  0.000	0.046356	0.047499
 10.000	  0.000	 40.000	  0.000	0.040397	0.041770
 10.000	  0.000	 45.000	  0.000	0.035750	0.036431
 10.000	  0.000	 50.000	  0.000	0.032171	0.032464
 10.000	  0.000	 55.000	  0.000	0.029183	0.029075
 10.000	  0.000	 60.000	  0.000	0.026575	0.026258
 10.000	  0.000	 65.000	  0.000	0.024456	0.023833
 10.000	  0.000	 70.000	  0.000	0.022785	0.021297
 10.000	  0.000	 75.000	  0.000	0.019438	0.018314
 30.000	  0.000	 75.000	180.000	0.183616	0.178765
 30.000	  0.000	 70.000	180.000	0.171912	0.166493
 30.000	  0.000	 65.000	180.000	0.167124	0.158395
 30.000	  0.000	 60.000	180.000	0.165835	0.153720
 30.000	  0.000	 55.000	180.000	0.169944	0.153982
 30.000	  0.000	 50.000	180.000	0.179263	0.160175
 30.000	  0.000	 45.000	180.000	0.196959	0.170959
 30.000	  0.000	 40.000	180.000	0.224216	0.198940
 30.000	  0.000	 35.000	180.000	0.270185	0.251216
 30.000	  0.000	 30.000	180.000	0.323359	0.327040
 30.000	  0.000	 25.000	180.000	0.261250	0.249392
 30.000	  0.000	 20.000	180.000	0.189761	0.171248
 30.000	  0.000	 15.000	180.000	0.146360	0.132457
 30.000	  0.000	 10.000	180.000	0.117151	0.106387
 30.000	  0.000	  5.000	180.000	0.095258	0.090025
 30.000	  0.000	  0.000	  0.000	0.078172	0.075355
 30.000	  0.000	  5.000	  0.000	0.064860	0.063478
 30.000	  0.000	 10.000	  0.000	0.054514	0.054073
 30.000	  0.000	 15.000	  0.000	0.046057	0.045983
 30.000	  0.000	 18.000	  0.000	0.041550	0.041536
 30.000	  0.000	 42.000	  0.000	0.010147	0.020667
 30.000	  0.000	 45.000	  0.000	0.010601	0.019223
 30.000	  0.000	 50.000	  0.000	0.006711	0.016785
 30.000	  0.000	 55.000	  0.000	0.005865	0.014863
 30.000	  0.000	 60.000	  0.000	0.003950	0.013207
 30.000	  0.000	 65.000	  0.000	0.005732	0.011616
 30.000	  0.000	 70.000	  0.000	0.002843	0.009832
 30.000	  0.000	 75.000	  0.000	0.003463	0.008034
 50.000	  0.000	 75.000	180.000	0.851874	0.880901
 50.000	  0.000	 70.000	180.000	0.736600	0.752737
 50.000	  0.000	 65.000	180.000	0.673212	0.676502
 50.000	  0.000	 60.000	180.000	0.665021	0.658689
 50.000	  0.000	 55.000	180.000	0.713891	0.716524
 50.000	  0.000	 50.000	180.000	0.772088	0.827650
 50.000	  0.000	 45.000	180.000	0.562555	0.547753
 50.000	  0.000	 40.000	180.000	0.372630	0.333459
 50.000	  0.000	 35.000	180.000	0.265550	0.228352
 50.000	  0.000	 30.000	180.000	0.198786	0.170460
 50.000	  0.000	 25.000	180.000	0.153152	0.133076
 50.000	  0.000	 20.000	180.000	0.119084	0.105531
 50.000	  0.000	 15.000	180.000	0.094514	0.084861
 50.000	  0.000	 10.000	180.000	0.075953	0.069290
 50.000	  0.000	  5.000	180.000	0.061332	0.057058
 50.000	  0.000	  0.000	  0.000	0.050494	0.046961
 50.000	  0.000	  5.000	  0.000	0.041976	0.039147
 50.000	  0.000	 10.000	  0.000	0.035335	0.032809
 50.000	  0.000	 15.000	  0.000	0.013700	0.027398
 50.000	  0.000	 20.000	  0.000	0.007815	0.022940
 50.000	  0.000	 25.000	  0.000	0.009959	0.019716
 50.000	  0.000	 30.000	  0.000	0.005915	0.017057
 50.000	  0.000	 35.000	  0.000	0.005447	0.014939
 50.000	  0.000	 38.000	  0.000	0.005147	0.013733
 50.000	  0.000	 62.000	  0.000	0.005067	0.008105
 50.000	  0.000	 65.000	  0.000	0.004826	0.007689
 50.000	  0.000	 70.000	  0.000	0.004349	0.006544
 50.000	  0.000	 75.000	  0.000	0.002840	0.005248
 70.000	  0.000	 75.000	180.000	6.506479	5.184119
 70.000	  0.000	 70.000	180.000	6.508058	5.184408
 70.000	  0.000	 65.000	180.000	4.038740	4.546284
 70.000	  0.000	 60.000	180.000	2.120638	2.281605
 70.000	  0.000	 55.000	180.000	1.267425	1.294775
 70.000	  0.000	 50.000	180.000	0.818765	0.818314
