BRF Values
RSG NIST Working Reference as ref for LOFT Al 6061 optical black anodize 12" sample
Measurements taken on Jul 16 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
  0.000	  0.000	 45.000	  0.000	1.010363	1.020221
 10.000	  0.000	 75.000	180.000	0.900709	0.903965
 10.000	  0.000	 70.000	180.000	0.936002	0.941570
 10.000	  0.000	 65.000	180.000	0.962004	0.969886
 10.000	  0.000	 60.000	180.000	0.980520	0.990884
 10.000	  0.000	 55.000	180.000	0.999325	1.007198
 10.000	  0.000	 50.000	180.000	1.010674	1.023086
 10.000	  0.000	 45.000	180.000	1.021586	1.034051
 10.000	  0.000	 40.000	180.000	1.030306	1.043889
 10.000	  0.000	 35.000	180.000	1.038781	1.052900
 10.000	  0.000	 30.000	180.000	1.044022	1.059662
 10.000	  0.000	 25.000	180.000	1.049842	1.067583
 10.000	  0.000	 20.000	180.000	1.054666	1.071731
 10.000	  0.000	 15.000	180.000	1.058847	1.074297
 10.000	  0.000	 10.000	180.000	1.062520	1.079840
 10.000	  0.000	  5.000	180.000	1.064231	1.082815
 10.000	  0.000	  2.000	180.000	1.065634	1.083826
 10.000	  0.000	 22.000	  0.000	1.049911	1.062016
 10.000	  0.000	 25.000	  0.000	1.044430	1.057862
 10.000	  0.000	 30.000	  0.000	1.037641	1.045981
 10.000	  0.000	 35.000	  0.000	1.026525	1.033219
 10.000	  0.000	 40.000	  0.000	1.014368	1.021243
 10.000	  0.000	 45.000	  0.000	1.002550	1.008256
 10.000	  0.000	 50.000	  0.000	0.989406	0.990239
 10.000	  0.000	 55.000	  0.000	0.968122	0.972333
 10.000	  0.000	 60.000	  0.000	0.948453	0.950378
 10.000	  0.000	 65.000	  0.000	0.923608	0.923535
 10.000	  0.000	 70.000	  0.000	0.892785	0.892795
 10.000	  0.000	 75.000	  0.000	0.854486	0.850652
 30.000	  0.000	 75.000	180.000	0.979108	0.992531
 30.000	  0.000	 70.000	180.000	1.003888	1.021731
 30.000	  0.000	 65.000	180.000	1.020452	1.041298
 30.000	  0.000	 60.000	180.000	1.031781	1.053985
 30.000	  0.000	 55.000	180.000	1.037635	1.062921
 30.000	  0.000	 50.000	180.000	1.044573	1.065052
 30.000	  0.000	 45.000	180.000	1.045636	1.068443
 30.000	  0.000	 40.000	180.000	1.048888	1.070721
 30.000	  0.000	 35.000	180.000	1.049464	1.070816
 30.000	  0.000	 30.000	180.000	1.050560	1.068003
 30.000	  0.000	 25.000	180.000	1.050687	1.068897
 30.000	  0.000	 20.000	180.000	1.050442	1.065714
 30.000	  0.000	 15.000	180.000	1.050190	1.062607
 30.000	  0.000	 10.000	180.000	1.045571	1.060696
 30.000	  0.000	  5.000	180.000	1.045150	1.057344
 30.000	  0.000	  0.000	  0.000	1.042560	1.054551
 30.000	  0.000	  5.000	  0.000	1.040105	1.050545
 30.000	  0.000	 10.000	  0.000	1.037833	1.046644
 30.000	  0.000	 15.000	  0.000	1.036393	1.041972
 30.000	  0.000	 18.000	  0.000	1.036078	1.041696
 30.000	  0.000	 42.000	  0.000	0.997059	0.994567
 30.000	  0.000	 45.000	  0.000	0.987211	0.983748
 30.000	  0.000	 50.000	  0.000	0.970084	0.967171
 30.000	  0.000	 55.000	  0.000	0.951022	0.945958
 30.000	  0.000	 60.000	  0.000	0.931369	0.925937
 30.000	  0.000	 65.000	  0.000	0.907053	0.896808
 30.000	  0.000	 70.000	  0.000	0.877663	0.866416
 30.000	  0.000	 75.000	  0.000	0.837635	0.826018
 50.000	  0.000	 75.000	180.000	1.170823	1.210759
 50.000	  0.000	 70.000	180.000	1.157883	1.201483
 50.000	  0.000	 65.000	180.000	1.145189	1.187975
 50.000	  0.000	 60.000	180.000	1.126973	1.168555
 50.000	  0.000	 55.000	180.000	1.111100	1.151837
 50.000	  0.000	 50.000	180.000	1.094138	1.131706
 50.000	  0.000	 45.000	180.000	1.083280	1.116527
 50.000	  0.000	 40.000	180.000	1.069196	1.099393
 50.000	  0.000	 35.000	180.000	1.058579	1.085182
 50.000	  0.000	 30.000	180.000	1.049591	1.069395
 50.000	  0.000	 25.000	180.000	1.038611	1.057921
 50.000	  0.000	 20.000	180.000	1.030455	1.045227
 50.000	  0.000	 15.000	180.000	1.023957	1.032715
 50.000	  0.000	 10.000	180.000	1.015459	1.024949
 50.000	  0.000	  5.000	180.000	1.010026	1.018073
 50.000	  0.000	  0.000	  0.000	1.002510	1.007279
 50.000	  0.000	  5.000	  0.000	0.997920	1.001857
 50.000	  0.000	 10.000	  0.000	0.992442	0.992971
 50.000	  0.000	 15.000	  0.000	0.987821	0.987413
 50.000	  0.000	 20.000	  0.000	0.982847	0.980994
 50.000	  0.000	 25.000	  0.000	0.979904	0.978570
 50.000	  0.000	 30.000	  0.000	0.976662	0.972294
 50.000	  0.000	 35.000	  0.000	0.974049	0.964298
 50.000	  0.000	 38.000	  0.000	0.973021	0.963284
 50.000	  0.000	 62.000	  0.000	0.920221	0.900138
 50.000	  0.000	 65.000	  0.000	0.904121	0.886043
 50.000	  0.000	 70.000	  0.000	0.879988	0.856961
 50.000	  0.000	 75.000	  0.000	0.846036	0.816827
 70.000	  0.000	 75.000	180.000	1.870161	2.025078
 70.000	  0.000	 70.000	180.000	1.622448	1.742209
 70.000	  0.000	 65.000	180.000	1.461410	1.568731
 70.000	  0.000	 60.000	180.000	1.337089	1.424876
 70.000	  0.000	 55.000	180.000	1.245774	1.313067
 70.000	  0.000	 50.000	180.000	1.174805	1.228473
 70.000	  0.000	 45.000	180.000	1.121879	1.164175
 70.000	  0.000	 40.000	180.000	1.079169	1.112806
 70.000	  0.000	 35.000	180.000	1.047531	1.070684
 70.000	  0.000	 30.000	180.000	1.018019	1.038904
 70.000	  0.000	 25.000	180.000	0.998245	1.012856
 70.000	  0.000	 20.000	180.000	0.977728	0.989437
 70.000	  0.000	 15.000	180.000	0.963732	0.971871
 70.000	  0.000	 10.000	180.000	0.949144	0.955490
 70.000	  0.000	  5.000	180.000	0.937706	0.939648
 70.000	  0.000	  0.000	  0.000	0.927804	0.929781
 70.000	  0.000	  5.000	  0.000	0.920303	0.918723
 70.000	  0.000	 10.000	  0.000	0.913341	0.910965
 70.000	  0.000	 15.000	  0.000	0.905338	0.901114
 70.000	  0.000	 20.000	  0.000	0.903218	0.895654
 70.000	  0.000	 25.000	  0.000	0.899518	0.890859
 70.000	  0.000	 30.000	  0.000	0.896983	0.886665
 70.000	  0.000	 35.000	  0.000	0.897328	0.884593
 70.000	  0.000	 40.000	  0.000	0.896215	0.878368
 70.000	  0.000	 45.000	  0.000	0.897392	0.876466
