BRF Values
LOFT 12" sample Aluminum 6061 optical black anodize
Measurements taken on Jul 16 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
  0.000	  0.000	 45.000	  0.000	0.058926	0.062146
 10.000	  0.000	 75.000	180.000	0.090821	0.082259
 10.000	  0.000	 70.000	180.000	0.083719	0.078036
 10.000	  0.000	 65.000	180.000	0.078293	0.075048
 10.000	  0.000	 60.000	180.000	0.073907	0.072300
 10.000	  0.000	 55.000	180.000	0.070550	0.071399
 10.000	  0.000	 50.000	180.000	0.068205	0.070764
 10.000	  0.000	 45.000	180.000	0.066375	0.071305
 10.000	  0.000	 40.000	180.000	0.064922	0.071850
 10.000	  0.000	 35.000	180.000	0.063790	0.072915
 10.000	  0.000	 30.000	180.000	0.063305	0.074456
 10.000	  0.000	 25.000	180.000	0.062871	0.075773
 10.000	  0.000	 20.000	180.000	0.062126	0.076518
 10.000	  0.000	 15.000	180.000	0.062188	0.077310
 10.000	  0.000	 10.000	180.000	0.061989	0.077828
 10.000	  0.000	  5.000	180.000	0.061844	0.079245
 10.000	  0.000	  2.000	180.000	0.062074	0.080596
 10.000	  0.000	 22.000	  0.000	0.058312	0.071200
 10.000	  0.000	 25.000	  0.000	0.057147	0.068886
 10.000	  0.000	 30.000	  0.000	0.055903	0.064776
 10.000	  0.000	 35.000	  0.000	0.054878	0.061396
 10.000	  0.000	 40.000	  0.000	0.054109	0.058800
 10.000	  0.000	 45.000	  0.000	0.053736	0.056614
 10.000	  0.000	 50.000	  0.000	0.053708	0.055020
 10.000	  0.000	 55.000	  0.000	0.054247	0.053992
 10.000	  0.000	 60.000	  0.000	0.055196	0.053704
 10.000	  0.000	 65.000	  0.000	0.056975	0.053808
 10.000	  0.000	 70.000	  0.000	0.059402	0.054668
 10.000	  0.000	 75.000	  0.000	0.062952	0.056430
 30.000	  0.000	 75.000	180.000	0.160066	0.152013
 30.000	  0.000	 70.000	180.000	0.142805	0.137295
 30.000	  0.000	 65.000	180.000	0.127609	0.123759
 30.000	  0.000	 60.000	180.000	0.114797	0.114514
 30.000	  0.000	 55.000	180.000	0.104836	0.106058
 30.000	  0.000	 50.000	180.000	0.096556	0.100635
 30.000	  0.000	 45.000	180.000	0.090145	0.095924
 30.000	  0.000	 40.000	180.000	0.084030	0.092237
