BRF Values
RSG Working NIST reference as ref for LOFT 12" sample titanium grade 2 anodize
Measurements taken on Jul 16 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
  0.000	  0.000	 45.000	  0.000	1.011563	1.020912
 10.000	  0.000	 75.000	180.000	0.901285	0.905754
 10.000	  0.000	 70.000	180.000	0.935764	0.942998
 10.000	  0.000	 65.000	180.000	0.962153	0.968205
 10.000	  0.000	 60.000	180.000	0.983525	0.991404
 10.000	  0.000	 55.000	180.000	0.998507	1.009660
 10.000	  0.000	 50.000	180.000	1.012081	1.022602
 10.000	  0.000	 45.000	180.000	1.022894	1.035173
 10.000	  0.000	 40.000	180.000	1.031716	1.044552
 10.000	  0.000	 35.000	180.000	1.040222	1.051714
 10.000	  0.000	 30.000	180.000	1.044498	1.061270
 10.000	  0.000	 25.000	180.000	1.053316	1.067781
 10.000	  0.000	 20.000	180.000	1.054624	1.072134
 10.000	  0.000	 15.000	180.000	1.060077	1.076166
 10.000	  0.000	 10.000	180.000	1.060779	1.079407
 10.000	  0.000	  5.000	180.000	1.065686	1.082537
 10.000	  0.000	  2.000	180.000	1.067707	1.084329
 10.000	  0.000	 22.000	  0.000	1.053304	1.062420
 10.000	  0.000	 25.000	  0.000	1.046947	1.058604
 10.000	  0.000	 30.000	  0.000	1.037266	1.046805
 10.000	  0.000	 35.000	  0.000	1.026829	1.036492
 10.000	  0.000	 40.000	  0.000	1.015736	1.022610
 10.000	  0.000	 45.000	  0.000	1.003163	1.007061
 10.000	  0.000	 50.000	  0.000	0.987826	0.992854
 10.000	  0.000	 55.000	  0.000	0.969652	0.972734
 10.000	  0.000	 60.000	  0.000	0.949694	0.949857
 10.000	  0.000	 65.000	  0.000	0.924043	0.925302
 10.000	  0.000	 70.000	  0.000	0.894700	0.892652
 10.000	  0.000	 75.000	  0.000	0.855925	0.850213
 30.000	  0.000	 75.000	180.000	0.981127	0.993335
 30.000	  0.000	 70.000	180.000	1.006055	1.023038
 30.000	  0.000	 65.000	180.000	1.023322	1.042107
 30.000	  0.000	 60.000	180.000	1.034119	1.054631
 30.000	  0.000	 55.000	180.000	1.041332	1.063433
 30.000	  0.000	 50.000	180.000	1.043752	1.068132
 30.000	  0.000	 45.000	180.000	1.047446	1.069778
 30.000	  0.000	 40.000	180.000	1.051160	1.070767
 30.000	  0.000	 35.000	180.000	1.052588	1.071726
 30.000	  0.000	 30.000	180.000	1.050229	1.069619
 30.000	  0.000	 25.000	180.000	1.051341	1.069601
 30.000	  0.000	 20.000	180.000	1.051467	1.067249
 30.000	  0.000	 15.000	180.000	1.049948	1.065445
 30.000	  0.000	 10.000	180.000	1.046905	1.060915
 30.000	  0.000	  5.000	180.000	1.047720	1.059159
 30.000	  0.000	  0.000	  0.000	1.044288	1.053704
 30.000	  0.000	  5.000	  0.000	1.042477	1.049881
 30.000	  0.000	 10.000	  0.000	1.039716	1.046750
 30.000	  0.000	 15.000	  0.000	1.033520	1.045262
 30.000	  0.000	 18.000	  0.000	1.037362	1.041125
 30.000	  0.000	 42.000	  0.000	0.998187	0.996841
 30.000	  0.000	 45.000	  0.000	0.987595	0.987610
 30.000	  0.000	 50.000	  0.000	0.971694	0.968032
 30.000	  0.000	 55.000	  0.000	0.953027	0.948512
 30.000	  0.000	 60.000	  0.000	0.932012	0.926585
 30.000	  0.000	 65.000	  0.000	0.906510	0.898939
 30.000	  0.000	 70.000	  0.000	0.878759	0.867896
 30.000	  0.000	 75.000	  0.000	0.839073	0.825701
 50.000	  0.000	 75.000	180.000	1.170748	1.212866
 50.000	  0.000	 70.000	180.000	1.159430	1.204056
 50.000	  0.000	 65.000	180.000	1.144293	1.189746
 50.000	  0.000	 60.000	180.000	1.128556	1.170266
 50.000	  0.000	 55.000	180.000	1.111631	1.153177
 50.000	  0.000	 50.000	180.000	1.095956	1.134747
 50.000	  0.000	 45.000	180.000	1.084076	1.117317
 50.000	  0.000	 40.000	180.000	1.073066	1.101675
 50.000	  0.000	 35.000	180.000	1.059385	1.085547
 50.000	  0.000	 30.000	180.000	1.048082	1.070686
 50.000	  0.000	 25.000	180.000	1.040391	1.059084
 50.000	  0.000	 20.000	180.000	1.031781	1.046326
 50.000	  0.000	 15.000	180.000	1.024094	1.036492
 50.000	  0.000	 10.000	180.000	1.016409	1.024995
 50.000	  0.000	  5.000	180.000	1.010642	1.017014
 50.000	  0.000	  0.000	  0.000	1.004524	1.008852
 50.000	  0.000	  5.000	  0.000	0.999233	1.001344
 50.000	  0.000	 10.000	  0.000	0.992529	0.994755
 50.000	  0.000	 15.000	  0.000	0.990929	0.989474
 50.000	  0.000	 20.000	  0.000	0.984700	0.982872
 50.000	  0.000	 25.000	  0.000	0.983721	0.976412
 50.000	  0.000	 30.000	  0.000	0.977703	0.972471
 50.000	  0.000	 35.000	  0.000	0.975857	0.968664
 50.000	  0.000	 38.000	  0.000	0.974064	0.964185
 50.000	  0.000	 62.000	  0.000	0.921581	0.901121
 50.000	  0.000	 65.000	  0.000	0.907552	0.886579
 50.000	  0.000	 70.000	  0.000	0.880886	0.858287
 50.000	  0.000	 75.000	  0.000	0.847519	0.816753
 70.000	  0.000	 75.000	180.000	1.869036	2.031292
 70.000	  0.000	 70.000	180.000	1.625984	1.746684
 70.000	  0.000	 65.000	180.000	1.460310	1.571931
 70.000	  0.000	 60.000	180.000	1.339653	1.427373
 70.000	  0.000	 55.000	180.000	1.246021	1.315680
 70.000	  0.000	 50.000	180.000	1.175834	1.229222
 70.000	  0.000	 45.000	180.000	1.123123	1.165618
 70.000	  0.000	 40.000	180.000	1.082243	1.114514
 70.000	  0.000	 35.000	180.000	1.049110	1.076724
 70.000	  0.000	 30.000	180.000	1.020438	1.041873
 70.000	  0.000	 25.000	180.000	0.998844	1.015002
 70.000	  0.000	 20.000	180.000	0.981003	0.990796
 70.000	  0.000	 15.000	180.000	0.964333	0.972430
 70.000	  0.000	 10.000	180.000	0.950843	0.956056
 70.000	  0.000	  5.000	180.000	0.940545	0.943065
 70.000	  0.000	  0.000	  0.000	0.929779	0.929652
 70.000	  0.000	  5.000	  0.000	0.921729	0.920713
 70.000	  0.000	 10.000	  0.000	0.914685	0.911859
 70.000	  0.000	 15.000	  0.000	0.908290	0.906214
 70.000	  0.000	 20.000	  0.000	0.905600	0.898496
 70.000	  0.000	 25.000	  0.000	0.901738	0.890957
 70.000	  0.000	 30.000	  0.000	0.899202	0.887861
