BRF Values
LOFT 12" sample titanium grade 2 titanium anodize
Measurements taken on Jul 16 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
  0.000	  0.000	 45.000	  0.000	0.125019	0.172083
 10.000	  0.000	 75.000	180.000	0.101903	0.123184
 10.000	  0.000	 70.000	180.000	0.107946	0.136279
 10.000	  0.000	 65.000	180.000	0.115231	0.151842
 10.000	  0.000	 60.000	180.000	0.124932	0.173073
 10.000	  0.000	 55.000	180.000	0.138145	0.200284
 10.000	  0.000	 50.000	180.000	0.157466	0.238979
 10.000	  0.000	 45.000	180.000	0.185711	0.297562
 10.000	  0.000	 40.000	180.000	0.231151	0.390647
 10.000	  0.000	 35.000	180.000	0.298511	0.531770
 10.000	  0.000	 30.000	180.000	0.388912	0.733859
 10.000	  0.000	 25.000	180.000	0.490371	0.970404
 10.000	  0.000	 20.000	180.000	0.579143	1.182149
 10.000	  0.000	 15.000	180.000	0.640974	1.332325
 10.000	  0.000	 10.000	180.000	0.656838	1.367097
 10.000	  0.000	  5.000	180.000	0.626242	1.296089
 10.000	  0.000	  2.000	180.000	0.588736	1.209727
 10.000	  0.000	 22.000	  0.000	0.192282	0.301567
 10.000	  0.000	 25.000	  0.000	0.168719	0.253584
 10.000	  0.000	 30.000	  0.000	0.139613	0.197342
 10.000	  0.000	 35.000	  0.000	0.119927	0.159122
 10.000	  0.000	 40.000	  0.000	0.105655	0.132522
 10.000	  0.000	 45.000	  0.000	0.094950	0.113698
 10.000	  0.000	 50.000	  0.000	0.086848	0.098997
 10.000	  0.000	 55.000	  0.000	0.080323	0.088188
 10.000	  0.000	 60.000	  0.000	0.075092	0.079247
 10.000	  0.000	 65.000	  0.000	0.071032	0.072415
 10.000	  0.000	 70.000	  0.000	0.067665	0.066632
 10.000	  0.000	 75.000	  0.000	0.064773	0.061685
 30.000	  0.000	 75.000	180.000	0.220587	0.324185
 30.000	  0.000	 70.000	180.000	0.243565	0.373731
 30.000	  0.000	 65.000	180.000	0.280413	0.450673
 30.000	  0.000	 60.000	180.000	0.343470	0.573545
 30.000	  0.000	 55.000	180.000	0.437146	0.767410
 30.000	  0.000	 50.000	180.000	0.558936	1.024038
 30.000	  0.000	 45.000	180.000	0.689116	1.306934
 30.000	  0.000	 40.000	180.000	0.790648	1.562543
 30.000	  0.000	 35.000	180.000	0.838725	1.710180
 30.000	  0.000	 30.000	180.000	0.828950	1.707361
 30.000	  0.000	 25.000	180.000	0.761940	1.555195
 30.000	  0.000	 20.000	180.000	0.656219	1.318085
 30.000	  0.000	 15.000	180.000	0.523065	1.024704
 30.000	  0.000	 10.000	180.000	0.397233	0.742899
 30.000	  0.000	  5.000	180.000	0.293440	0.520858
 30.000	  0.000	  0.000	  0.000	0.219733	0.361791
 30.000	  0.000	  5.000	  0.000	0.171784	0.261734
 30.000	  0.000	 10.000	  0.000	0.141706	0.199006
 30.000	  0.000	 15.000	  0.000	0.121961	0.157627
 30.000	  0.000	 18.000	  0.000	0.113436	0.140567
 30.000	  0.000	 42.000	  0.000	0.072452	0.068441
 30.000	  0.000	 45.000	  0.000	0.069090	0.063804
 30.000	  0.000	 50.000	  0.000	0.064180	0.057238
 30.000	  0.000	 55.000	  0.000	0.060216	0.052244
 30.000	  0.000	 60.000	  0.000	0.057182	0.048261
 30.000	  0.000	 65.000	  0.000	0.054561	0.045096
 30.000	  0.000	 70.000	  0.000	0.052644	0.042356
 30.000	  0.000	 75.000	  0.000	0.051083	0.039647
 50.000	  0.000	 75.000	180.000	1.372207	1.803209
 50.000	  0.000	 70.000	180.000	1.614897	2.331680
 50.000	  0.000	 65.000	180.000	1.818039	2.854930
 50.000	  0.000	 60.000	180.000	1.889659	2.762055
 50.000	  0.000	 55.000	180.000	1.828184	2.762181
 50.000	  0.000	 50.000	180.000	1.649547	2.762344
 50.000	  0.000	 45.000	180.000	1.396051	2.585827
 50.000	  0.000	 40.000	180.000	1.106759	2.050301
 50.000	  0.000	 35.000	180.000	0.823046	1.512935
 50.000	  0.000	 30.000	180.000	0.577972	1.039473
 50.000	  0.000	 25.000	180.000	0.396441	0.688176
 50.000	  0.000	 20.000	180.000	0.277522	0.462401
 50.000	  0.000	 15.000	180.000	0.205827	0.327078
 50.000	  0.000	 10.000	180.000	0.162113	0.240879
 50.000	  0.000	  5.000	180.000	0.133700	0.186093
 50.000	  0.000	  0.000	  0.000	0.114776	0.148306
 50.000	  0.000	  5.000	  0.000	0.100590	0.120585
 50.000	  0.000	 10.000	  0.000	0.089736	0.100148
 50.000	  0.000	 15.000	  0.000	0.081472	0.084524
 50.000	  0.000	 20.000	  0.000	0.075081	0.072967
 50.000	  0.000	 25.000	  0.000	0.070116	0.064560
 50.000	  0.000	 30.000	  0.000	0.066358	0.057947
 50.000	  0.000	 35.000	  0.000	0.063593	0.053278
 50.000	  0.000	 38.000	  0.000	0.062740	0.051103
 50.000	  0.000	 62.000	  0.000	0.053697	0.039037
 50.000	  0.000	 65.000	  0.000	0.052468	0.037723
 50.000	  0.000	 70.000	  0.000	0.050708	0.035707
 50.000	  0.000	 75.000	  0.000	0.049385	0.033673
 70.000	  0.000	 75.000	180.000	6.046362	5.191127
 70.000	  0.000	 70.000	180.000	6.049404	5.191391
 70.000	  0.000	 65.000	180.000	6.056783	5.191624
 70.000	  0.000	 60.000	180.000	4.825557	5.191806
 70.000	  0.000	 55.000	180.000	2.934269	4.198699
