BRF Values
RSG Spectralon 7, (2 inch dia) aperture in wall
Measurements taken on Feb 10 2025 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	413.91nm	445.02nm	500.12nm	537.85nm	630.79nm	683.54nm	806.19nm	852.23nm	940.89nm	1059.04nm
  0.000	  0.000	 45.000	180.000	0.999567	1.006003	1.007267	1.012242	1.015793	1.018843	1.019463	1.019303	1.017283	1.019816	1.020632
 12.000	  0.000	  0.000	  0.000	1.052150	1.054446	1.056617	1.066887	1.067870	1.066939	1.071674	1.071791	1.072407	1.071949	1.074896
 15.000	  0.000	  0.000	  0.000	1.047631	1.051900	1.057091	1.063012	1.061395	1.066783	1.067701	1.069644	1.066781	1.070598	1.069691
 20.000	  0.000	  0.000	  0.000	1.042429	1.046332	1.051253	1.056571	1.057284	1.062829	1.060315	1.065694	1.062931	1.060785	1.066058
 25.000	  0.000	  0.000	  0.000	1.035176	1.040027	1.045089	1.052082	1.053899	1.055667	1.056019	1.056497	1.052746	1.054735	1.057076
 30.000	  0.000	  0.000	  0.000	1.031241	1.031342	1.038116	1.042757	1.043665	1.047502	1.046190	1.049264	1.047776	1.049305	1.050553
 35.000	  0.000	  0.000	  0.000	1.022832	1.026934	1.035411	1.038600	1.036613	1.042581	1.040948	1.046083	1.039508	1.042737	1.042615
 40.000	  0.000	  0.000	  0.000	1.015444	1.020615	1.020694	1.026546	1.028513	1.032588	1.031261	1.034035	1.033788	1.031232	1.035716
 45.000	  0.000	  0.000	  0.000	1.007756	1.011374	1.013254	1.022325	1.018483	1.026354	1.020554	1.021937	1.023855	1.022172	1.026767
 50.000	  0.000	  0.000	  0.000	0.993643	1.000268	1.001148	1.007506	1.010374	1.013746	1.011093	1.012448	1.012480	1.010623	1.013055
 55.000	  0.000	  0.000	  0.000	0.982614	0.987679	0.988550	0.993743	0.995204	1.001334	0.999391	0.999419	0.998781	0.999907	1.000955
 60.000	  0.000	  0.000	  0.000	0.967306	0.977854	0.973600	0.979704	0.978171	0.984345	0.983545	0.984885	0.982909	0.982893	0.987985
 65.000	  0.000	  0.000	  0.000	0.950830	0.957952	0.954152	0.958444	0.960351	0.966054	0.964184	0.966013	0.962610	0.964288	0.966172
 70.000	  0.000	  0.000	  0.000	0.928732	0.931412	0.931150	0.938689	0.938968	0.936972	0.939820	0.940721	0.939738	0.940347	0.945716
 75.000	  0.000	  0.000	  0.000	0.903789	0.909812	0.901585	0.906129	0.908153	0.909111	0.908028	0.913676	0.912668	0.912250	0.915071
 80.000	  0.000	  0.000	  0.000	0.869349	0.874247	0.855017	0.863471	0.865263	0.867924	0.867702	0.874540	0.874673	0.876340	0.879900
 85.000	  0.000	  0.000	  0.000	0.824810	0.835613	0.794865	0.798962	0.802935	0.804885	0.808324	0.819947	0.821374	0.828722	0.831699
 45.000	  0.000	 45.000	180.000	1.057983	1.064141	1.067109	1.073715	1.077767	1.082461	1.082751	1.086172	1.086112	1.087695	1.091333
  0.000	  0.000	 45.000	180.000	0.997826	1.004688	1.006421	1.014199	1.014164	1.017080	1.017110	1.016817	1.016013	1.018788	1.020125
