%	2014 May - Digital Globe test angles for two tracor tarp samples
%	includes 0/45 cal measurements
%
%Measurement #	Source_zenith	Source_azimuth	View_zenith	View_azimuth
1	0.000000	180.000000	45.000000	180.000000
2	55.000000	170.000000	0.000000	0.000000
3	55.000000	170.000000	5.000000	0.000000
4	55.000000	170.000000	5.000000	36.000000
5	55.000000	170.000000	5.000000	72.000000
6	55.000000	170.000000	5.000000	108.000000
7	55.000000	170.000000	5.000000	144.000000
8	55.000000	170.000000	5.000000	180.000000
9	55.000000	170.000000	5.000000	216.000000
10	55.000000	170.000000	5.000000	252.000000
11	55.000000	170.000000	5.000000	288.000000
12	55.000000	170.000000	5.000000	324.000000
13	55.000000	170.000000	15.000000	0.000000
14	55.000000	170.000000	15.000000	36.000000
15	55.000000	170.000000	15.000000	72.000000
16	55.000000	170.000000	15.000000	108.000000
17	55.000000	170.000000	15.000000	144.000000
18	55.000000	170.000000	15.000000	180.000000
19	55.000000	170.000000	15.000000	216.000000
20	55.000000	170.000000	15.000000	252.000000
21	55.000000	170.000000	15.000000	288.000000
22	55.000000	170.000000	15.000000	324.000000
23	55.000000	170.000000	45.000000	0.000000
24	55.000000	170.000000	45.000000	36.000000
25	55.000000	170.000000	45.000000	72.000000
26	55.000000	170.000000	45.000000	108.000000
27	55.000000	170.000000	45.000000	144.000000
28	55.000000	170.000000	45.000000	180.000000
29	55.000000	170.000000	45.000000	216.000000
30	55.000000	170.000000	45.000000	252.000000
31	55.000000	170.000000	45.000000	288.000000
32	55.000000	170.000000	45.000000	324.000000
33	0.000000	0.000000	45.000000	0.000000
34	0.000000	180.000000	45.000000	180.000000
35	20.000000	150.000000	0.000000	0.000000
36	20.000000	150.000000	5.000000	0.000000
37	20.000000	150.000000	5.000000	36.000000
38	20.000000	150.000000	5.000000	72.000000
39	20.000000	150.000000	5.000000	108.000000
40	20.000000	150.000000	5.000000	144.000000
41	20.000000	150.000000	5.000000	180.000000
42	20.000000	150.000000	5.000000	216.000000
43	20.000000	150.000000	5.000000	252.000000
44	20.000000	150.000000	5.000000	288.000000
45	20.000000	150.000000	5.000000	324.000000
46	20.000000	150.000000	15.000000	0.000000
47	20.000000	150.000000	15.000000	36.000000
48	20.000000	150.000000	15.000000	72.000000
49	20.000000	150.000000	15.000000	108.000000
50	20.000000	150.000000	15.000000	144.000000
51	20.000000	150.000000	15.000000	180.000000
52	20.000000	150.000000	15.000000	216.000000
53	20.000000	150.000000	15.000000	252.000000
54	20.000000	150.000000	15.000000	288.000000
55	20.000000	150.000000	15.000000	324.000000
56	20.000000	150.000000	45.000000	0.000000
57	20.000000	150.000000	45.000000	36.000000
58	20.000000	150.000000	45.000000	72.000000
59	20.000000	150.000000	45.000000	108.000000
60	20.000000	150.000000	45.000000	144.000000
61	20.000000	150.000000	45.000000	180.000000
62	20.000000	150.000000	45.000000	216.000000
63	20.000000	150.000000	45.000000	252.000000
64	20.000000	150.000000	45.000000	288.000000
65	20.000000	150.000000	45.000000	324.000000
66	0.000000	0.000000	45.000000	0.000000
